"","x"
"200","ENSRNOG00000006280"
"201","ENSRNOG00000001261"
"202","ENSRNOG00000007769"
"203","ENSRNOG00000010326"
"204","ENSRNOG00000052604"
"205","ENSRNOG00000003183"
"206","ENSRNOG00000001592"
"207","ENSRNOG00000030515"
"208","ENSRNOG00000008600"
"209","ENSRNOG00000017283"
"210","ENSRNOG00000018111"
"211","ENSRNOG00000026065"
"212","ENSRNOG00000039473"
"213","ENSRNOG00000013280"
"214","ENSRNOG00000014835"
"215","ENSRNOG00000042912"
"216","ENSRNOG00000051257"
"217","ENSRNOG00000018402"
"218","ENSRNOG00000001865"
"219","ENSRNOG00000053795"
"220","ENSRNOG00000018982"
"221","ENSRNOG00000003763"
"222","ENSRNOG00000012156"
"223","ENSRNOG00000002607"
"224","ENSRNOG00000014164"
"225","ENSRNOG00000011421"
"226","ENSRNOG00000010929"
"227","ENSRNOG00000017118"
"228","ENSRNOG00000017496"
"229","ENSRNOG00000031766"
"230","ENSRNOG00000019290"
"231","ENSRNOG00000045626"
"232","ENSRNOG00000012751"
"233","ENSRNOG00000008082"
"234","ENSRNOG00000003028"
"235","ENSRNOG00000009198"
"236","ENSRNOG00000025848"
"237","ENSRNOG00000003653"
"238","ENSRNOG00000030126"
"239","ENSRNOG00000026163"
"240","ENSRNOG00000019271"
