"","x"
"1","Aqp7"
"2","Tap1"
"3","Capn6"
"4","Adamts16"
"5","Tmem160"
"6","Chrna2"
"7","Fer1l6"
"8","Npr2"
"9","Cfap20dc"
"10","Efcab11"
"11","Slc6a1"
"12","Fmod"
"13","Slc12a5"
"14","Snord45a"
"15","Smap2"
"16","Cnp"
"17","Rgs6"
"18","Sspo"
