"","x"
"200","ENSRNOG00000005960"
"201","ENSRNOG00000018982"
"202","ENSRNOG00000015794"
"203","ENSRNOG00000011053"
"204","ENSRNOG00000007002"
"205","ENSRNOG00000058645"
"206","ENSRNOG00000017908"
"207","ENSRNOG00000010326"
"208","ENSRNOG00000017027"
"209","ENSRNOG00000012156"
"210","ENSRNOG00000018254"
"211","ENSRNOG00000024824"
"212","ENSRNOG00000039754"
"213","ENSRNOG00000007281"
"214","ENSRNOG00000037911"
"215","ENSRNOG00000000571"
"216","ENSRNOG00000014555"
"217","ENSRNOG00000026163"
"218","ENSRNOG00000007769"
"219","ENSRNOG00000001113"
