"","logFC","logCPM","LR","PValue","FDR","geneid","genesymbol","ENSEMBL"
"57","-4.68012187010821","5.28750970506523","417.952245256562","6.81030975898965e-93","1.65096246052139e-90","289392","Plxna2","ENSRNOG00000007324"
"58","-4.82799565488457","4.61583340175228","413.862685261516","5.28845221492128e-92","1.25992815009969e-89","304023","St3gal6","ENSRNOG00000001653"
"59","-6.64569265683639","5.42538669280185","413.760664946283","5.56589864915278e-92","1.30355233108463e-89","83711","Inhbe","ENSRNOG00000007601"
"60","-5.79246299008418","6.10149126134796","413.513771103983","6.2990724461559e-92","1.4506763843497e-89","288985","Insig2","ENSRNOG00000002478"
"61","-7.79235267493533","4.6869164187545","409.537357299008","4.62202234801951e-91","1.04700171811367e-88","286964","Hsd17b6","ENSRNOG00000002597"
"62","-6.50199132170474","4.08935820508644","409.064641972588","5.85774483462066e-91","1.30552126007723e-88","307092","Akr1c1","ENSRNOG00000038331"
"63","-4.90783056620888","6.37938848122714","405.683507379467","3.18953998643109e-90","6.99572437023885e-88","314800","Acss3","ENSRNOG00000004448"
"64","-4.96807628360717","4.33767229436867","405.384995548808","3.70431690762287e-90","7.9978517233645e-88","85496","Enpp1","ENSRNOG00000013994"
"65","4.16644909229221","5.73546654211884","404.795715064098","4.97717723886822e-90","1.05807130902586e-87","689581","Eif5b-ps1","ENSRNOG00000046621"
"66","5.06207954535665","5.72716308898443","403.464314620474","9.70074148007752e-90","2.03098251169259e-87","310749","Rsbn1","ENSRNOG00000019671"
"67","4.08583905800362","4.38898916263134","401.041547180771","3.26741014604071e-89","6.73866767134187e-87","315746","Cln6","ENSRNOG00000007164"
"68","-6.95639748289667","6.38370959959128","400.781978968983","3.72141473077847e-89","7.56213363969072e-87","690745","Mtarc1","ENSRNOG00000004101"
"69","-5.17367251442018","6.1708029615093","398.958393742453","9.28282087198598e-89","1.85898577984206e-86","171436","Mk1","ENSRNOG00000019657"
"70","-7.66752735402802","8.16844551380409","396.669494971361","2.92382396120549e-88","5.77162849941965e-86","140638","Apoa5","ENSRNOG00000018436"
"71","-7.20997670009714","8.52422225540048","396.489868031801","3.19929715707492e-88","6.22646311499455e-86","24346","Ces1c","ENSRNOG00000015438"
"72","-5.08402314488313","5.7586442972126","395.933344063107","4.22868866633448e-88","8.11555833214027e-86","81632","Abat","ENSRNOG00000002636"
"73","-5.46127671881442","4.94493362810833","395.666707619115","4.83337659009591e-88","9.14898598930758e-86","NULL"," ","ENSRNOG00000059851"
"74","7.3260940794273","4.69547562329866","395.350731967744","5.66286866978961e-88","1.05742593620477e-85","362770","Ccdc88c","ENSRNOG00000004482"
"75","5.39676588561789","4.55515050802633","395.322503191519","5.74356735600106e-88","1.05819484966963e-85","NULL"," ","ENSRNOG00000053469"
"76","6.44443673090047","4.95594943649154","393.445410999811","1.47168701880782e-87","2.67575937182716e-85","287961","Cdc45","ENSRNOG00000050071"
"77","-5.34504282923599","7.44403608562001","390.166884002567","7.61283525125693e-87","1.36615788963465e-84","25284","Amacr","ENSRNOG00000018662"
"78","-6.67534071386723","6.42926870903417","389.875018326835","8.81223222294984e-87","1.56112083149642e-84","79438","Igfals","ENSRNOG00000015061"
"79","-5.37610528414973","5.21910106936296","389.83002581618","9.0132385736828e-87","1.57651810900189e-84","292949","Perp","ENSRNOG00000011994"
"80","-6.41137923933114","6.81545716196943","389.2890870363","1.18207281697651e-86","2.04173527312268e-84","56759","Rnase4","ENSRNOG00000025625"
"81","-7.29462868319599","5.06021304122757","387.862322179468","2.4168825636137e-86","4.12302262518692e-84","63867","Ugt2a1","ENSRNOG00000001973"
"82","5.7990875935027","5.80158882679982","387.268452363089","3.25494595534998e-86","5.48498087939341e-84","315843","Phip","ENSRNOG00000008652"
"83","-7.91965603445633","6.92678149872345","385.702478753732","7.13618303111223e-86","1.18804550751697e-83","299276","Serpina3m","ENSRNOG00000009921"
"84","-5.93935442654788","5.79615482363433","385.635265635543","7.38072074128634e-86","1.2141285619416e-83","688887","Cfhr2","ENSRNOG00000021575"
"85","-7.63553718735073","8.16275421072586","383.974825892946","1.696644562956e-85","2.75814524363835e-83","24303","Cyp2d3","ENSRNOG00000029179"
"86","4.17473219617496","5.19825298445957","378.50068754706","2.63868045541889e-84","4.23968448057886e-82","362320","Fam133b","ENSRNOG00000009163"
"87","4.63636709804594","5.47333531496864","376.875595375876","5.9593724204604e-84","9.46512736849676e-82","NULL"," ","ENSRNOG00000055096"
