"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"376","0.9003413"," 3.515449643","12.342266","4.428172e-04","2.010842e-02","ENSRNOG00000060984"
"377","3.0072049","-0.202695832","12.312568","4.499184e-04","2.032514e-02","ENSRNOG00000008125"
"378","1.8395260"," 2.239558392","12.304692","4.518211e-04","2.032514e-02","ENSRNOG00000017159"
"379","2.6679213"," 0.061977341","12.298859","4.532354e-04","2.033473e-02","ENSRNOG00000060879"
"380","1.5198308"," 2.030492197","12.282830","4.571447e-04","2.041694e-02","ENSRNOG00000017699"
"381","1.9339362"," 1.908848741","12.282398","4.572504e-04","2.041694e-02","ENSRNOG00000054867"
"382","1.8549342"," 2.079830231","12.265325","4.614528e-04","2.055552e-02","ENSRNOG00000056413"
"383","1.5756446"," 1.633818453","12.250677","4.650893e-04","2.064949e-02","ENSRNOG00000000536"
"384","1.7015660"," 1.429607942","12.247950","4.657697e-04","2.064949e-02","ENSRNOG00000003005"
"385","0.9601848"," 4.029963662","12.227512","4.708996e-04","2.077939e-02","ENSRNOG00000015581"
"386","2.0468021"," 2.202441467","12.227196","4.709794e-04","2.077939e-02","ENSRNOG00000047647"
"387","1.4782078"," 1.966776836","12.219544","4.729150e-04","2.077939e-02","ENSRNOG00000021149"
"388","1.4345268"," 1.983311753","12.218647","4.731422e-04","2.077939e-02","ENSRNOG00000010053"
"389","1.6748038"," 1.391493602","12.201645","4.774741e-04","2.090624e-02","ENSRNOG00000017130"
"390","1.5950030"," 1.788574738","12.198555","4.782655e-04","2.090624e-02","ENSRNOG00000030956"
"391","1.6683506"," 1.604543962","12.171814","4.851710e-04","2.110945e-02","ENSRNOG00000018229"
"392","1.7910678"," 1.741605170","12.152906","4.901145e-04","2.123621e-02","ENSRNOG00000004075"
"393","1.9659312"," 1.530293162","12.145738","4.920017e-04","2.123621e-02","ENSRNOG00000046566"
"394","2.1863384"," 0.253821769","12.139801","4.935705e-04","2.123621e-02","ENSRNOG00000061881"
"395","1.7725429"," 1.852489615","12.134860","4.948799e-04","2.123621e-02","ENSRNOG00000037231"
"396","0.9123158"," 4.174438363","12.134804","4.948948e-04","2.123621e-02","ENSRNOG00000029938"
"397","1.2563323"," 2.444091199","12.117009","4.996398e-04","2.134192e-02","ENSRNOG00000025612"
"398","1.8732666"," 1.364910570","12.103065","5.033900e-04","2.145313e-02","ENSRNOG00000002800"
"399","1.2784072"," 2.552637311","12.094048","5.058305e-04","2.150814e-02","ENSRNOG00000011132"
"400","2.9279024"," 0.340417797","12.080725","5.094578e-04","2.156436e-02","ENSRNOG00000048133"
