"","ENSEMBL"
"Cyp4a3","ENSRNOG00000009741"
"Cyp2u1","ENSRNOG00000011053"
"Tram1","ENSRNOG00000007892"
"Ctsh","ENSRNOG00000014064"
"Hormad2","ENSRNOG00000037865"
"Ugt2b35","ENSRNOG00000001980"
"Lcat","ENSRNOG00000019573"
"Sdk1","ENSRNOG00000001103"
"Ran","ENSRNOG00000000938"
"Tmem59","ENSRNOG00000009778"
"Cyp8b1","ENSRNOG00000019481"
"Slc25a11","ENSRNOG00000003815"
"Pecr","ENSRNOG00000055295"
"Gltpd2","ENSRNOG00000026488"
"Cct8","ENSRNOG00000001592"
"Ppp2r2a","ENSRNOG00000011158"
"Abcd1","ENSRNOG00000056524"
"Ndufa6","ENSRNOG00000008569"
"Nit2","ENSRNOG00000027797"
"Camk2b","ENSRNOG00000052080"
"Pctp","ENSRNOG00000002425"
"Adtrp","ENSRNOG00000014481"
"Cd302","ENSRNOG00000006623"
"Uqcrc2","ENSRNOG00000036742"
"Slc30a1","ENSRNOG00000004749"
"Tmem168","ENSRNOG00000057290"
"Marchf2","ENSRNOG00000007769"
"Ccdc136","ENSRNOG00000007100"
"NA","ENSRNOG00000054077"
"Fh","ENSRNOG00000003653"
"Snap91","ENSRNOG00000023861"
"Lypla2","ENSRNOG00000010067"
"Pc","ENSRNOG00000019372"
"Wscd1","ENSRNOG00000007869"
"Tet1","ENSRNOG00000000277"
"Cyp4f18","ENSRNOG00000015751"
"Mcm3","ENSRNOG00000012543"
"Aox4","ENSRNOG00000014555"
"Lama1","ENSRNOG00000017237"
"Cenpu","ENSRNOG00000022261"
"Fam189a2","ENSRNOG00000061147"
"Ttll7","ENSRNOG00000031997"
"Ccdc27","ENSRNOG00000056358"
"Flnc","ENSRNOG00000007281"
"Psrc1","ENSRNOG00000020013"
"Paqr5","ENSRNOG00000014164"
"Egflam","ENSRNOG00000012058"
"LOC680227","ENSRNOG00000037911"
"Slc4a3","ENSRNOG00000020138"
"Mmd2","ENSRNOG00000001113"
"Itk","ENSRNOG00000006860"
"F13a1","ENSRNOG00000015957"
"Fancd2","ENSRNOG00000061085"
"Lama3","ENSRNOG00000011300"
"Srgap3","ENSRNOG00000006509"
"Sytl1","ENSRNOG00000008600"
"Msantd1","ENSRNOG00000010867"
"Pole2","ENSRNOG00000004242"
"Celsr3","ENSRNOG00000053889"
"Fam83d","ENSRNOG00000015794"
"Stmn4","ENSRNOG00000053334"
"P4ha3","ENSRNOG00000017118"
"Mns1","ENSRNOG00000057867"
"Slc9a5","ENSRNOG00000028844"
"Cacnb1","ENSRNOG00000004518"
"Ap3b2","ENSRNOG00000019249"
"Slc36a2","ENSRNOG00000011892"
"Il1rl1","ENSRNOG00000014835"
"Adgrb1","ENSRNOG00000029450"
"Trpv2","ENSRNOG00000003104"
"Espl1","ENSRNOG00000012835"
"Cpne5","ENSRNOG00000000522"
"Carmil3","ENSRNOG00000025518"
