"ID","A1","A2","A3","A4","D1","D2","D3","D4","L1","L2","L3","L4","S1","S3","S4","S5","Gene.name"
"ENSRNOG00000046319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000046.1"
"ENSRNOG00000047964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000089.1"
"ENSRNOG00000050370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vom2r6"
"ENSRNOG00000032365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vom2r5"
"ENSRNOG00000040300",0,0,0,1,0,0,0,0,3,3,0,0,1,6,1,6,"Raet1e"
"ENSRNOG00000058808",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"RF00421"
"ENSRNOG00000061316",4,6,1,2,0,0,1,0,23,35,12,16,23,44,21,20,"LOC102547056"
"ENSRNOG00000050129",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000137.1"
"ENSRNOG00000040316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000145.1"
"ENSRNOG00000023659",0,0,0,0,2,0,0,0,3,2,0,0,1,1,1,0,"AABR07000147.1"
"ENSRNOG00000029897",0,1,2,0,0,0,1,2,0,0,1,1,0,0,2,1,"AABR07000156.1"
"ENSRNOG00000042852",0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,"AABR07000158.1"
"ENSRNOG00000061806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00421"
"ENSRNOG00000055877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000159.4"
"ENSRNOG00000014303",882,1484,866,957,31,30,18,41,536,541,537,567,463,610,538,514,"Lrp11"
"ENSRNOG00000051899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000159.1"
"ENSRNOG00000014330",256,293,280,290,91,92,180,226,407,771,578,518,909,562,525,663,"Pcmt1"
"ENSRNOG00000049505",19,46,41,35,25,17,43,76,84,197,113,89,182,117,111,144,"Nup43"
"ENSRNOG00000014916",236,306,287,344,33,57,69,155,278,413,323,353,405,340,263,312,"Lats1"
"ENSRNOG00000014996",134,141,161,125,51,94,114,190,208,233,181,214,253,185,158,209,"Katna1"
"ENSRNOG00000015239",1012,1184,1006,1050,40,54,146,205,544,593,620,593,615,659,578,613,"Ginm1"
"ENSRNOG00000055508",0,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,"AABR07000159.3"
"ENSRNOG00000053710",0,1,2,1,0,1,0,0,0,1,0,0,1,1,0,0,"AABR07000159.2"
"ENSRNOG00000015552",102,153,162,149,44,65,90,176,211,378,200,225,351,275,221,265,"Ppil4"
"ENSRNOG00000016041",4,3,6,1,20,37,45,47,14,11,16,8,8,14,12,11,"Zc3h12d"
"ENSRNOG00000016054",604,594,672,719,106,107,234,349,849,1150,1068,1052,1260,1045,992,1129,"Tab2"
"ENSRNOG00000016381",7,3,5,4,1,1,4,3,11,25,15,11,16,16,7,11,"Ust"
"ENSRNOG00000054005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00026"
"ENSRNOG00000059137",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"AABR07000173.1"
"ENSRNOG00000013160",333,370,320,565,29,11,13,27,272,209,273,218,165,394,246,226,"Sash1"
"ENSRNOG00000052788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00340"
"ENSRNOG00000023549",6,8,2,2,0,1,0,0,0,9,2,2,5,0,3,2,"Samd5"
"ENSRNOG00000031859",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"RGD1560633"
"ENSRNOG00000013351",182,178,161,217,310,521,589,913,233,284,208,500,279,282,175,240,"Stxbp5"
"ENSRNOG00000061755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00340"
"ENSRNOG00000053182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000200.1"
"ENSRNOG00000042741",2,1,3,2,20,33,35,66,3,3,1,8,3,4,0,0,"Adgb"
"ENSRNOG00000014258",140,173,151,139,54,57,53,53,294,172,136,157,132,183,102,84,"Rab32"
"ENSRNOG00000057302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00560"
"ENSRNOG00000014290",2,0,0,0,1,0,0,0,1,2,1,2,4,0,1,0,"Grm1"
"ENSRNOG00000041566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000220.1"
"ENSRNOG00000014431",1,0,2,1,1,5,3,6,1,2,2,1,7,2,5,3,"AABR07000222.1"
"ENSRNOG00000014450",124,122,138,143,20,15,29,32,121,180,121,110,148,129,119,153,"Shprh"
"ENSRNOG00000014852",91,85,69,112,46,68,121,205,150,276,291,198,452,332,415,476,"Fbxo30"
"ENSRNOG00000052274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00156"
"ENSRNOG00000040242",5,6,1,3,1,0,0,1,0,6,5,6,2,2,3,3,"Epm2a"
"ENSRNOG00000054906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00560"
"ENSRNOG00000058048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00322"
"ENSRNOG00000051844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000248.1"
"ENSRNOG00000053880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00045"
"ENSRNOG00000011058",449,405,384,499,285,288,420,499,372,428,398,377,429,492,444,469,"Utrn"
"ENSRNOG00000014902",4,2,2,2,45,58,38,40,18,6,13,32,13,9,3,14,"Stx11"
"ENSRNOG00000014908",320,448,545,420,181,168,246,489,776,816,796,867,772,835,691,757,"Sf3b5"
"ENSRNOG00000036310",5,9,4,3,7,5,8,1,6,2,4,1,8,4,2,1,"AABR07000257.1"
"ENSRNOG00000025587",1,1,1,0,6,6,2,2,46,119,25,46,115,126,24,69,"Plagl1"
"ENSRNOG00000042705",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Zc2hc1b"
"ENSRNOG00000043188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000261.1"
"ENSRNOG00000015217",167,186,214,187,57,50,113,239,304,348,295,286,373,353,251,341,"Ltv1"
"ENSRNOG00000015473",13,13,7,13,16,10,19,30,25,44,15,62,26,47,18,34,"Phactr2"
"ENSRNOG00000015551",228,294,178,260,32,18,28,31,394,295,311,353,243,344,280,372,"Fuca2"
"ENSRNOG00000015660",232,299,217,222,24,17,20,34,168,196,189,222,192,206,183,194,"Pex3"
"ENSRNOG00000046983",27,23,35,23,4,6,10,12,32,39,49,56,26,59,29,33,"Adat2"
"ENSRNOG00000016624",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AABR07000276.1"
"ENSRNOG00000010753",92,62,54,57,17,19,27,25,189,161,158,161,132,185,163,169,"Aig1"
"ENSRNOG00000011015",32,31,37,28,14,12,18,17,37,36,26,28,42,48,29,37,"Hivep2"
"ENSRNOG00000011399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000292.1"
"ENSRNOG00000011411",28,30,18,15,7,12,18,8,95,68,64,83,68,104,57,100,"Adgrg6"
"ENSRNOG00000011540",321,400,397,373,91,96,129,239,426,576,456,460,524,524,486,518,"Vta1"
"ENSRNOG00000012092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gje1"
"ENSRNOG00000012103",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,"Nmbr"
"ENSRNOG00000059930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00560"
"ENSRNOG00000059032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000325.1"
"ENSRNOG00000056005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00066"
"ENSRNOG00000055342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00066"
"ENSRNOG00000047798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000332.1"
"ENSRNOG00000059769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000356.1"
"ENSRNOG00000047193",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Olr905"
"ENSRNOG00000060990",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"AABR07000382.1"
"ENSRNOG00000058425",0,1,0,1,3,2,2,4,1,1,0,3,2,5,3,6,"AABR07000385.2"
"ENSRNOG00000055421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000385.1"
"ENSRNOG00000052007",0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,"RF01518"
"ENSRNOG00000061685",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,"RF01518"
"ENSRNOG00000047746",9,1,13,3,38,50,112,202,93,26,49,35,25,30,31,50,"AABR07000398.1"
"ENSRNOG00000055836",0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,"AABR07000402.1"
"ENSRNOG00000060657",0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,"AABR07000404.1"
"ENSRNOG00000059898",2,0,0,1,3,4,4,5,4,1,1,1,0,1,2,1,"LOC100909599"
"ENSRNOG00000055789",1,0,2,1,1,0,2,1,1,2,1,3,3,0,4,2,"AABR07000411.1"
"ENSRNOG00000062232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mcc"
"ENSRNOG00000055660",0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,"AABR07000433.1"
"ENSRNOG00000060284",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"AABR07000436.1"
"ENSRNOG00000056019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AC128394.2"
"ENSRNOG00000059861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"AC128394.3"
"ENSRNOG00000056940",1057,685,897,404,251,375,452,718,570,683,472,793,651,498,437,459,"Cited2"
"ENSRNOG00000055972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AC128394.1"
"ENSRNOG00000060021",0,0,0,0,0,3,1,1,5,3,4,2,0,1,1,2,"Txlnb"
"ENSRNOG00000060610",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"AABR07071848.1"
"ENSRNOG00000060972",342,300,371,417,68,72,122,178,215,234,229,193,224,230,169,210,"Heca"
"ENSRNOG00000051450",101,101,142,102,96,129,164,205,516,386,322,415,345,387,299,338,"Abracl"
"ENSRNOG00000059224",73,67,62,70,17,14,27,25,111,195,126,150,184,114,112,121,"Reps1"
"ENSRNOG00000055142",23,5,32,31,3,3,0,2,69,79,117,87,74,114,90,105,"NEWGENE_2319083"
"ENSRNOG00000052189",1,3,4,0,0,1,4,4,0,2,2,1,3,5,1,4,"AABR07000452.1"
"ENSRNOG00000053331",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"AABR07000451.1"
"ENSRNOG00000053347",94,101,124,125,25,37,68,128,74,92,90,95,90,102,105,86,"Ccdc28a"
"ENSRNOG00000059393",0,0,0,0,3,2,1,0,1,0,1,0,0,0,1,2,"RF00026"
"ENSRNOG00000060603",98,153,72,109,3,6,5,3,52,76,63,52,74,84,46,61,"Nhsl1"
"ENSRNOG00000053735",82,177,94,87,14,20,15,12,162,213,161,178,199,206,153,171,"Hebp2"
"ENSRNOG00000053184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000458.1"
"ENSRNOG00000011460",13,5,10,5,1,0,1,0,1,1,1,2,5,1,1,0,"Arfgef3"
"ENSRNOG00000025799",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"RGD1560303"
"ENSRNOG00000011994",1399,1135,1472,1439,16,13,8,12,539,469,518,545,434,579,493,551,"Perp"
"ENSRNOG00000049517",65,34,52,39,79,25,65,89,596,685,596,380,863,700,348,271,"Tnfaip3"
"ENSRNOG00000058088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC102550206"
"ENSRNOG00000054373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"AABR07000484.1"
"ENSRNOG00000012057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Olig3"
"ENSRNOG00000053291",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"AABR07000493.1"
"ENSRNOG00000012074",311,388,561,312,727,1217,1475,1516,985,612,559,610,482,690,408,420,"Ifngr1"
"ENSRNOG00000012259",0,0,0,0,2,1,2,5,8,5,6,2,2,3,5,3,"Il22ra2"
"ENSRNOG00000012286",0,0,0,0,0,2,1,0,2,2,2,0,2,0,0,2,"Il20ra"
"ENSRNOG00000057719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AC136053.1"
"ENSRNOG00000012311",0,0,1,0,25,27,32,53,32,9,23,34,23,18,20,23,"Slc35d3"
"ENSRNOG00000012322",127,170,166,184,16,12,12,9,139,145,111,119,126,152,117,121,"Pex7"
"ENSRNOG00000031700",57,60,60,89,30,35,61,127,322,329,334,321,269,277,225,270,"Map3k5"
"ENSRNOG00000054452",0,0,0,0,0,1,0,0,0,3,1,0,1,0,1,0,"RF00406"
"ENSRNOG00000012701",430,298,456,507,16,26,24,35,308,395,346,355,372,452,343,335,"Map7"
"ENSRNOG00000053505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00026"
"ENSRNOG00000058050",615,571,690,869,1047,1710,2189,3477,1251,1862,1538,1537,1864,1809,1407,1396,"Mtfr2"
"ENSRNOG00000013436",0,15,7,5,2,9,4,1,6,1,2,1,2,6,1,5,"Pde7b"
"ENSRNOG00000058518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00403"
"ENSRNOG00000053617",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"AABR07000523.1"
"ENSRNOG00000013969",44,40,26,54,50,37,45,46,48,78,39,49,72,51,34,56,"Ahi1"
"ENSRNOG00000055858",0,2,1,1,44,28,74,79,30,22,39,69,30,8,19,25,"Myb"
"ENSRNOG00000014531",644,639,609,680,745,987,1456,2122,1185,1316,1550,1296,1467,1316,1342,1467,"Hbs1l"
"ENSRNOG00000014907",10404,10561,10904,12202,164,132,96,79,3659,3955,4685,4158,3040,4610,4230,3741,"Aldh8a1"
"ENSRNOG00000052464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000533.1"
"ENSRNOG00000058612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00026"
"ENSRNOG00000048762",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"AABR07000534.1"
"ENSRNOG00000058363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00009"
"ENSRNOG00000014979",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Themis"
"ENSRNOG00000055971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000544.1"
"ENSRNOG00000047605",1410,1315,1337,1519,62,101,81,80,559,843,593,683,699,700,630,652,"Ptprk"
"ENSRNOG00000046617",7,1,2,1,0,1,0,2,1,11,3,5,4,6,3,4,"LOC103690149"
"ENSRNOG00000047754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000574.1"
"ENSRNOG00000028519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000581.1"
"ENSRNOG00000011134",31,63,16,31,5,3,9,9,123,257,78,88,210,197,103,119,"Lama2"
"ENSRNOG00000046438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000583.1"
"ENSRNOG00000057281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00026"
"ENSRNOG00000058772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00026"
"ENSRNOG00000011245",119,126,118,134,55,24,33,48,325,381,356,326,337,321,329,385,"Arhgap18"
"ENSRNOG00000030796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000595.1"
"ENSRNOG00000051380",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,"LOC102554576"
"ENSRNOG00000011720",97,93,106,141,8,22,12,12,80,154,84,101,135,131,90,89,"L3mbtl3"
"ENSRNOG00000033517",105,111,132,135,67,70,76,75,179,165,192,171,164,188,168,184,"LOC100360791"
"ENSRNOG00000039955",0,13,9,5,0,0,0,0,0,0,0,0,0,0,0,0,"Samd3"
"ENSRNOG00000050801",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"AABR07000629.3"
"ENSRNOG00000049569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000629.2"
"ENSRNOG00000047783",0,2,1,0,0,0,0,0,4,2,2,1,3,4,1,5,"Tmem200a"
"ENSRNOG00000011855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000629.1"
"ENSRNOG00000053931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00548"
"ENSRNOG00000026462",1,0,0,0,2,3,4,13,5,9,8,9,6,4,9,4,"RGD1559962"
"ENSRNOG00000056218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000639.1"
"ENSRNOG00000047821",1103,1381,1539,1266,22,26,21,13,999,586,792,757,538,943,780,763,"Smlr1"
"ENSRNOG00000012346",111,123,83,93,85,76,64,91,305,563,298,379,505,445,318,346,"Epb41l2"
"ENSRNOG00000013202",25,31,28,44,6,0,1,7,31,73,32,42,60,50,49,58,"Akap7"
"ENSRNOG00000055111",128,41,60,112,149,158,460,1025,290,743,670,548,910,551,577,724,"AABR07000658.1"
"ENSRNOG00000054921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00560"
"ENSRNOG00000053999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07071851.2"
"ENSRNOG00000052696",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07071851.1"
"ENSRNOG00000013304",11774,10109,13728,14258,140,127,95,85,3648,3276,3063,3283,2728,3711,2965,3522,"Arg1"
"ENSRNOG00000013422",272,268,284,307,41,45,109,207,501,589,501,481,531,611,502,515,"Med23"
"ENSRNOG00000013791",1233,2108,1239,1593,20,17,20,25,886,1537,834,982,1301,923,794,1005,"Enpp3"
"ENSRNOG00000053913",54,7,78,91,0,0,0,0,1,0,0,1,0,1,0,0,"AC127189.1"
"ENSRNOG00000013994",845,866,865,1015,12,8,11,13,145,196,151,142,183,175,143,148,"Enpp1"
"ENSRNOG00000015036",66,40,26,38,20,36,42,37,161,117,56,171,111,171,54,103,"Ctgf"
"ENSRNOG00000015321",0,0,0,0,1,1,8,16,2,4,7,0,7,2,3,1,"Moxd1"
"ENSRNOG00000015670",65,94,67,87,22,19,25,17,70,199,146,167,223,130,143,149,"Stx7"
"ENSRNOG00000026096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Taar9"
"ENSRNOG00000056705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000663.1"
"ENSRNOG00000048934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Taar8a"
"ENSRNOG00000030414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC108348200"
"ENSRNOG00000039872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AC128759.1"
"ENSRNOG00000048072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Taar7h"
"ENSRNOG00000052726",0,0,0,0,8,5,3,4,0,0,0,0,0,0,0,0,"AC128759.2"
"ENSRNOG00000048265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Taar7g"
"ENSRNOG00000046903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Taar7e"
"ENSRNOG00000045914",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Taar7d"
"ENSRNOG00000047825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Taar7c"
"ENSRNOG00000046302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Taar7b"
"ENSRNOG00000016095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Taar7a"
"ENSRNOG00000016089",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Taar6"
"ENSRNOG00000039869",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Taar5"
"ENSRNOG00000029877",0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,1,"Taar4"
"ENSRNOG00000025982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Taar3"
"ENSRNOG00000025951",0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,2,"Taar2"
"ENSRNOG00000016073",0,0,0,0,2,0,0,2,22,19,41,19,18,14,28,27,"Taar1"
"ENSRNOG00000016219",289,29,167,143,6,18,12,8,637,329,707,612,328,667,650,726,"Vnn1"
"ENSRNOG00000039865",20,19,16,8,6,17,13,18,39,11,20,26,9,20,16,18,"Vnn3"
"ENSRNOG00000016371",94,70,108,132,17,12,19,51,136,193,149,117,204,144,159,149,"Slc18b1"
"ENSRNOG00000060376",2,1,0,0,4,3,6,2,2,2,2,2,2,0,1,1,"LOC100910237"
"ENSRNOG00000016411",1876,2480,2525,1929,2054,2815,4368,9783,14222,13219,16014,13747,13430,13321,12999,15280,"Rps12"
"ENSRNOG00000057952",1,4,0,2,2,2,2,7,14,12,6,8,8,15,10,7,"RF00186"
"ENSRNOG00000061678",1,0,1,1,2,2,2,16,5,10,5,2,2,8,6,1,"RF00609"
"ENSRNOG00000054517",0,2,0,1,8,9,24,44,36,15,9,17,15,27,12,14,"RF00438"
"ENSRNOG00000016627",1,1,0,1,0,0,0,1,2,3,1,0,1,0,0,0,"Eya4"
"ENSRNOG00000048248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"LOC100910446"
"ENSRNOG00000016700",21,54,17,30,5,4,11,5,256,112,41,62,94,169,51,107,"Tcf21"
"ENSRNOG00000011114",78,99,135,110,130,178,228,337,206,214,186,193,201,202,154,181,"Tbpl1"
"ENSRNOG00000011161",9,17,5,8,2,10,6,7,13,13,9,11,9,9,6,13,"Slc2a12"
"ENSRNOG00000051597",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"AABR07000714.1"
"ENSRNOG00000057722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000714.2"
"ENSRNOG00000011815",1949,837,1995,1177,162,312,506,644,296,398,357,322,566,585,431,501,"Sgk1"
"ENSRNOG00000059690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00603"
"ENSRNOG00000051379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00026"
"ENSRNOG00000059251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1700020N01Rik"
"ENSRNOG00000061761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000723.2"
"ENSRNOG00000056881",3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"LOC102546868"
"ENSRNOG00000055637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000725.1"
"ENSRNOG00000058047",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"AABR07000733.1"
"ENSRNOG00000052999",0,4,2,1,1,1,0,0,3,4,3,0,1,0,2,6,"AABR07000738.1"
"ENSRNOG00000048976",0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,"AABR07000740.2"
"ENSRNOG00000048796",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000740.1"
"ENSRNOG00000054246",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"AABR07000747.1"
"ENSRNOG00000012122",1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,"Clvs2"
"ENSRNOG00000062105",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"AABR07000765.1"
"ENSRNOG00000062163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000765.3"
"ENSRNOG00000062138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000765.2"
"ENSRNOG00000012609",0,0,0,0,3,1,3,3,0,0,0,0,0,0,0,0,"Trdn"
"ENSRNOG00000058582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00026"
"ENSRNOG00000029608",1,0,0,0,0,2,0,2,1,1,1,0,1,0,0,1,"LOC102551716"
"ENSRNOG00000052712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00560"
"ENSRNOG00000057890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00015"
"ENSRNOG00000056670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000902.1"
"ENSRNOG00000013323",144,194,193,235,9,4,7,9,125,122,117,130,114,167,120,125,"Rnf217"
"ENSRNOG00000021478",11,8,19,12,5,6,15,26,12,11,9,12,14,8,8,5,"Tpd52l1"
"ENSRNOG00000021442",53,89,74,67,24,18,26,41,77,100,102,88,104,94,96,118,"Hddc2"
"ENSRNOG00000013364",0,0,0,1,1,0,2,2,3,4,0,0,4,4,2,6,"Hey2"
"ENSRNOG00000014004",60,27,43,66,94,93,166,201,116,299,176,203,276,194,198,226,"Ncoa7"
"ENSRNOG00000014190",204,251,293,247,12,13,25,36,174,141,170,134,159,172,147,144,"Hint3"
"ENSRNOG00000014240",62,82,72,59,25,23,54,79,190,182,159,147,150,178,129,154,"Trmt11"
"ENSRNOG00000042944",58,8,27,43,65,68,146,205,173,324,342,227,448,281,329,308,"Cenpw"
"ENSRNOG00000060033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00560"
"ENSRNOG00000050157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000968.1"
"ENSRNOG00000056383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00015"
"ENSRNOG00000061372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000968.2"
"ENSRNOG00000056484",0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,"AABR07000978.1"
"ENSRNOG00000011568",28,27,8,19,3,4,4,1,98,52,26,24,54,40,16,29,"Rspo3"
"ENSRNOG00000011588",153,212,205,209,36,44,66,138,215,221,194,274,211,194,211,191,"Rnf146"
"ENSRNOG00000011622",306,490,382,353,59,44,34,46,863,735,774,767,569,911,751,781,"Echdc1"
"ENSRNOG00000054753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000986.1"
"ENSRNOG00000042309",1,0,1,0,0,2,0,0,11,1,1,1,1,1,2,0,"Kiaa0408L"
"ENSRNOG00000012324",2,5,5,4,3,4,1,4,3,1,1,5,5,3,2,2,"Soga3"
"ENSRNOG00000061741",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000989.1"
"ENSRNOG00000054845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00560"
"ENSRNOG00000023407",13,8,5,11,1,2,4,3,16,7,2,15,16,12,8,6,"LOC100910528"
"ENSRNOG00000023387",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"LOC100912599"
"ENSRNOG00000012581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"RGD1311933"
"ENSRNOG00000039788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AC094217.2"
"ENSRNOG00000051400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00009"
