"ID","A1","A2","A3","A4","D1","D2","D3","D4","L1","L2","L3","L4","S1","S3","S4","S5","Gene.name"
"ENSRNOG00000061582",451,580,516,570,67,80,91,149,252,321,236,264,298,302,243,252,"Scamp1"
"ENSRNOG00000041423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007689.1"
"ENSRNOG00000010624",433,540,373,510,119,140,126,195,682,733,690,851,703,736,729,760,"Ap3b1"
"ENSRNOG00000041749",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"AABR07007690.2"
"ENSRNOG00000010615",2,0,0,0,24,14,15,14,3,0,0,1,1,0,0,1,"AABR07007690.1"
"ENSRNOG00000058293",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"LOC108349922"
"ENSRNOG00000048342",1134,1382,1761,1305,258,222,295,521,1602,1675,1686,1472,1702,1576,1405,1608,"Tbca"
"ENSRNOG00000010560",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"Otp"
"ENSRNOG00000055870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007693.1"
"ENSRNOG00000025462",114,146,108,111,51,64,95,144,163,131,128,171,130,157,97,129,"Wdr41"
"ENSRNOG00000010280",28,48,40,51,8,3,5,7,13,14,13,22,5,20,15,15,"Pde8b"
"ENSRNOG00000056751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"RF00026"
"ENSRNOG00000059441",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"LOC100912266"
"ENSRNOG00000028941",239,260,305,255,41,42,50,81,381,480,408,388,416,392,338,411,"Zbed3"
"ENSRNOG00000044194",0,0,2,0,0,0,0,0,1,2,1,0,0,2,1,0,"RF01234"
"ENSRNOG00000029304",154,148,192,190,52,54,84,140,221,273,290,272,290,257,224,295,"Aggf1"
"ENSRNOG00000054864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00592"
"ENSRNOG00000017890",1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,"Crhbp"
"ENSRNOG00000017998",0,0,0,0,0,4,3,10,0,1,0,2,0,0,2,2,"S100z"
"ENSRNOG00000018003",0,1,0,0,6,6,14,25,12,20,16,17,31,24,15,14,"F2rl1"
"ENSRNOG00000061142",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"AABR07007715.1"
"ENSRNOG00000060525",9,13,4,5,1,1,0,0,11,4,14,16,19,26,18,24,"AABR07007717.3"
"ENSRNOG00000057200",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"AABR07007717.2"
"ENSRNOG00000056427",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"AABR07007717.1"
"ENSRNOG00000016544",2,3,2,3,9,8,8,15,85,83,79,84,95,79,90,83,"Arhgef28"
"ENSRNOG00000061565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00561"
"ENSRNOG00000018045",27,24,25,18,3,8,4,5,42,31,33,36,28,37,31,43,"AABR07007730.1"
"ENSRNOG00000048043",33,50,17,28,22,19,31,50,553,378,447,418,322,533,422,463,"F2r"
"ENSRNOG00000058070",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"RF00100"
"ENSRNOG00000025406",2903,2958,2443,3846,216,236,220,194,863,1585,1054,1151,1261,1265,1119,1114,"Iqgap2"
"ENSRNOG00000018054",0,0,0,1,1,5,4,6,3,2,5,15,9,4,8,6,"F2rl2"
"ENSRNOG00000056690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00003"
"ENSRNOG00000018068",2,0,1,2,0,0,0,1,0,2,0,0,0,1,0,0,"Ndufs6"
"ENSRNOG00000018094",0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,"Sv2c"
"ENSRNOG00000041964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007743.1"
"ENSRNOG00000056646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00026"
"ENSRNOG00000045746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007744.1"
"ENSRNOG00000060714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"AABR07007744.2"
"ENSRNOG00000057460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007745.1"
"ENSRNOG00000018193",67,80,73,88,51,98,110,151,126,173,115,171,172,146,111,158,"Poc5"
"ENSRNOG00000014549",177,352,188,339,21,15,12,9,258,170,368,320,137,341,330,327,"Arhgef26"
"ENSRNOG00000025377",2,0,5,2,6,1,4,4,1,0,3,9,1,6,2,1,"AABR07007758.1"
"ENSRNOG00000060626",41,60,54,89,66,122,120,165,68,93,71,87,75,67,75,57,"Polk"
"ENSRNOG00000046691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007758.2"
"ENSRNOG00000015686",595,544,727,889,85,150,208,316,628,753,680,778,740,820,648,692,"Col4a3bp"
"ENSRNOG00000016122",1048,1660,1132,1678,475,640,699,884,6849,11586,6188,7972,10145,10248,5842,8301,"Hmgcr"
"ENSRNOG00000060072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007765.1"
"ENSRNOG00000025321",0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,"AABR07007769.1"
"ENSRNOG00000055451",19,26,21,73,0,2,1,1,22,44,45,55,37,59,55,36,"Gcnt4"
"ENSRNOG00000061110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00026"
"ENSRNOG00000051888",1,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,"AABR07007775.1"
"ENSRNOG00000016505",0,0,1,0,4,12,11,20,10,21,19,26,21,14,16,19,"Fam169a"
"ENSRNOG00000016530",360,392,389,403,145,192,300,521,803,789,711,686,901,725,679,745,"Nsa2"
"ENSRNOG00000025285",173,169,188,232,54,97,88,120,322,361,361,329,343,327,389,375,"Gfm2"
"ENSRNOG00000025274",303,490,278,312,135,251,191,255,975,689,987,1095,576,894,853,989,"Hexb"
"ENSRNOG00000016541",259,94,109,82,44,35,41,36,904,530,1021,972,471,1087,966,936,"Enc1"
"ENSRNOG00000053598",1,1,1,1,1,0,0,0,10,4,4,13,1,8,10,7,"AABR07007789.1"
"ENSRNOG00000052392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00007"
"ENSRNOG00000058744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AC119356.1"
