"","ENSEMBL","SYMBOL","LAP-Adult_logFC","LAP-Adult_FDR","Colony_Host_logFC","Colony_Host_FDR","Colony_Host_logFC","Colony_Host_FDR"
"61","ENSRNOG00000008356","Myo5c",4.55264170903814,1.73468586357168e-20,0.9095075,0.04939056,NA,NA
"62","ENSRNOG00000008569","Ndufa6",-0.590844204757281,0.00706828439604562,NA,NA,-0.612259,0.049012641
"63","ENSRNOG00000008600","Sytl1",3.09444365350519,7.65150252238788e-07,2.2654622,0.0162075,NA,NA
"64","ENSRNOG00000008638","Angptl3",-2.04424931527563,2.27752784031959e-18,NA,NA,-0.7353939,0.04131546
"65","ENSRNOG00000008728","Unc79",2.6697916311337,2.35667597755229e-07,1.2047797,0.007551574,NA,NA
"66","ENSRNOG00000008761","Ncs1",4.55776409845464,6.41262773861134e-18,1.5401208,0.03359166,NA,NA
"67","ENSRNOG00000008855","Gjb2",-2.1789875995042,4.31036552660019e-24,NA,NA,-0.6504841,0.028674775
"68","ENSRNOG00000008937","Csrp1",-1.3183953129881,1.45425056979223e-05,NA,NA,-0.6258943,0.037771289
"69","ENSRNOG00000009339","Cenpe",2.47606417680731,3.43128224187981e-10,1.3197964,0.001788029,NA,NA
"70","ENSRNOG00000009686","Aqp7",4.59105061722351,1.06787884833406e-31,2.3059112,0.02895896,NA,NA
"71","ENSRNOG00000009741","Cyp4a3",-1.5498341417679,3.11675163347964e-06,NA,NA,-0.6365512,0.045038079
"72","ENSRNOG00000009778","Tmem59",-1.19898160713551,3.94612860183045e-11,NA,NA,-0.5361109,0.046152473
"73","ENSRNOG00000009797","Aqp3",6.08180957697547,5.21593610735038e-29,1.5166401,0.04939056,NA,NA
"74","ENSRNOG00000009921","Serpina3m",-11.8297806233713,1.93546143356949e-129,NA,NA,-0.7490956,0.013375569
"75","ENSRNOG00000010067","Lypla2",-0.684336816944696,1.73436398369501e-05,NA,NA,-0.8134752,0.049997394
"76","ENSRNOG00000010325","Ptger3",-6.33450990637033,9.52340494825202e-50,NA,NA,-0.7273601,0.019733676
"77","ENSRNOG00000010326","Col20a1",1.8556193265226,0.00242507983035619,1.5682924,0.002088466,NA,NA
"78","ENSRNOG00000010350","Rcan2",-5.0751697202023,1.00118261536018e-27,NA,NA,-0.8003672,0.019478259
"79","ENSRNOG00000010423","Misp",4.00696260666859,0.000133414454664034,3.1691003,0.006421703,NA,NA
"80","ENSRNOG00000010800","Hadhb",0.820850261401888,0.00019366307082417,NA,NA,-0.6321272,0.026885698
"81","ENSRNOG00000010899","Bfsp2",4.04398902346758,1.85641549981231e-09,1.60981,0.02839731,NA,NA
"82","ENSRNOG00000010929","Tcam1",4.83150390257835,0.000196388846924451,1.5594968,0.02885864,NA,NA
"83","ENSRNOG00000011016","Slc7a2",-1.77895530346665,5.69858955227598e-07,NA,NA,-0.6730438,0.01296085
"84","ENSRNOG00000011053","Cyp2u1",-3.03101148582934,5.12634479109067e-25,NA,NA,-0.6602996,0.045134772
"85","ENSRNOG00000011063","Dennd1b",-1.48867198537872,0.00271856518933867,NA,NA,-0.604482,0.037693179
"86","ENSRNOG00000011119","Spin1",-1.80167960970952,5.8321897521967e-11,NA,NA,-0.777576,0.030690491
"87","ENSRNOG00000011300","Lama3",-0.951089136205919,0.00390529713461422,0.794039,0.01615474,NA,NA
"88","ENSRNOG00000011421","Smap2",-0.403787029599919,0.0237997666728557,NA,NA,-0.5788496,0.038161033
"89","ENSRNOG00000011592","Lrp10",-1.21753036133375,2.09677979373613e-12,NA,NA,-0.6086952,0.042263532
"90","ENSRNOG00000011612","Tdo2",-11.0746071284021,2.26842555574673e-72,NA,NA,-0.6747071,0.041966814
"91","ENSRNOG00000011659","Alpk3",5.12212305160824,1.29532929041218e-11,1.0730787,0.03735942,NA,NA
"92","ENSRNOG00000011680","Il16",1.68344562511045,0.000631406173004335,0.7833401,0.03715357,NA,NA
"93","ENSRNOG00000011688","Neil3",3.2083668118434,5.95110702425471e-07,2.0179996,0.03704407,NA,NA
"94","ENSRNOG00000011705","Stmn2",2.00256560118255,0.000276617728958387,2.0725284,0.047723,NA,NA
"95","ENSRNOG00000011781","Oplah",-2.78920353635836,1.31770865292294e-31,NA,NA,-0.6158048,0.028338815
"96","ENSRNOG00000011892","Slc36a2",6.53660780134036,4.80732601522608e-103,2.0580405,0.01835416,NA,NA
"97","ENSRNOG00000012058","Egflam",1.33467672600175,0.046834123293566,1.1684488,0.01346819,NA,NA
"98","ENSRNOG00000012110","Col17a1",3.49684325722642,1.24660313275679e-06,1.25761,0.00268594,NA,NA
"99","ENSRNOG00000012543","Mcm3",3.65176574914043,8.85074160059921e-28,1.0965884,0.01006997,NA,NA
"100","ENSRNOG00000012804","C1qc",1.67189136970217,0.00345732022996231,NA,NA,-0.6768711,0.036493219
"101","ENSRNOG00000012835","Espl1",2.62584631701387,3.8624171199879e-11,1.2988038,0.01903318,NA,NA
"102","ENSRNOG00000012843","Aspg",-9.79095212303923,3.26628960841893e-121,NA,NA,-0.7214049,0.028519046
"103","ENSRNOG00000012892","Abca4",1.92211070910653,0.000654898653861064,1.1686873,0.002062951,NA,NA
"104","ENSRNOG00000013069","Sapcd2",1.25857354137443,0.000366080502558419,2.3026336,0.03986986,NA,NA
"105","ENSRNOG00000013280","Olfm4",7.02159851717794,1.24002680893797e-08,2.2281734,0.04998032,NA,NA
"106","ENSRNOG00000013586","Snai3",4.25976696082676,0.00301375553041409,1.8210558,0.04347397,NA,NA
"107","ENSRNOG00000013679","Sema4d",2.39060357889133,9.52313334269452e-08,0.9639839,0.04226353,NA,NA
"108","ENSRNOG00000014164","Paqr5",2.3389231420973,0.00109456742107235,1.5549198,0.01308689,NA,NA
"109","ENSRNOG00000014481","Adtrp",-3.76412733521641,2.63018232754927e-54,NA,NA,-0.6495262,0.04929949
"110","ENSRNOG00000014555","Aox4",3.13257899437743,0.000145851467502344,1.4352417,0.01016735,NA,NA
"111","ENSRNOG00000014835","Il1rl1",3.86303424449888,2.38232716955243e-09,1.2934964,0.01857634,NA,NA
"112","ENSRNOG00000014896","Adgrg3",6.8197086605394,7.08224300377157e-14,1.8130725,0.04081706,NA,NA
"113","ENSRNOG00000014970","Kif17",3.25049361898867,4.43113368233604e-06,1.4650759,0.0493356,NA,NA
"114","ENSRNOG00000015304","Tmem160",-1.69494755963167,1.8059285517008e-15,NA,NA,-1.0159842,0.033374994
"115","ENSRNOG00000015394","Trpv5",3.1862500331628,0.00193011452851022,1.6470714,0.03359166,NA,NA
"116","ENSRNOG00000015581","Dnah6",-3.47955546617067,1.99899592621951e-11,0.9601848,0.02077939,NA,NA
"117","ENSRNOG00000015751","Cyp4f18",4.81538445129577,1.90712222309353e-16,1.6918984,0.009958962,NA,NA
"118","ENSRNOG00000015794","Fam83d",2.13007583729935,7.49309688214451e-13,1.9123633,0.01671381,NA,NA
"119","ENSRNOG00000015913","Tspan5",1.94705320712013,9.5376184330384e-10,1.2367137,0.02839731,NA,NA
"120","ENSRNOG00000015957","F13a1",5.02125365675529,1.74924654564186e-13,1.4387966,0.01585739,NA,NA
"121","ENSRNOG00000015991","Npr2",1.14554009418587,0.00196113241685705,0.7834366,0.04226353,NA,NA
"122","ENSRNOG00000016437","Tm4sf4",-1.72412216469956,1.58130273607843e-10,NA,NA,-0.7872932,0.005228979
"123","ENSRNOG00000016496","Ctsc",-1.90445609565436,4.34447138696142e-18,NA,NA,-0.7445126,0.01117913
"124","ENSRNOG00000016505","Fam169a",5.22609374681947,9.30141980189935e-12,1.5991701,0.02345399,NA,NA
"125","ENSRNOG00000016544","Arhgef28",4.52130861705042,3.41507704666599e-30,0.9975892,0.03069049,NA,NA
"126","ENSRNOG00000016550","Dclk2",1.06170770966767,0.0452832648450732,0.9914483,0.02676421,NA,NA
"127","ENSRNOG00000016753","Slc14a1",4.8310647450032,6.74663089882918e-23,1.4671425,0.03849369,NA,NA
"128","ENSRNOG00000016812","Adamts16",5.80747669128184,4.45146520141734e-16,1.5816892,0.00896302,NA,NA
"129","ENSRNOG00000017027","Adam2",5.36068485654923,8.17021120325027e-27,1.8683318,0.006975835,NA,NA
"130","ENSRNOG00000017120","Abhd2",-4.87279873387533,2.63018232754927e-54,NA,NA,-0.6065203,0.037771289
"131","ENSRNOG00000017127","Rpl28",1.3971190533616,3.12483015391223e-09,NA,NA,-0.732723,0.019936322
"132","ENSRNOG00000017130","Rhd",5.6170092608316,3.0363568982837e-36,1.6748038,0.02090624,NA,NA
"133","ENSRNOG00000017237","Lama1",4.7742531969022,9.1195030199632e-20,1.3902979,0.01020177,NA,NA
"134","ENSRNOG00000017283","Kcnt1",1.54413685607082,0.0101187996126098,1.1017331,0.03900326,NA,NA
"135","ENSRNOG00000017424","Chrna2",3.55824787822628,1.43065844528271e-10,1.9931608,0.003902677,NA,NA
"136","ENSRNOG00000017597","Fbp1",-1.7454763361106,0.00162251002650982,NA,NA,-0.649541,0.020147358
"137","ENSRNOG00000017788","Katnal2",-2.42956928731594,0.00259681053049037,1.3084086,0.03608667,NA,NA
"138","ENSRNOG00000017908","Pnliprp1",6.8198164466244,2.25332742154572e-12,1.5743244,0.04578297,NA,NA
"139","ENSRNOG00000017977","Smpd1",-1.19488843357694,1.97094110851943e-09,NA,NA,-0.7151843,0.025480961
"140","ENSRNOG00000018241","Ank1",5.29946548903205,1.52194293605552e-23,1.4908016,0.003902677,NA,NA
"141","ENSRNOG00000018254","Sncaip",3.17181298460769,6.7973106388299e-05,1.2421151,0.02867477,NA,NA
"142","ENSRNOG00000018402","Apoc2",-0.737688527326071,0.0205663308437307,NA,NA,-0.7063241,0.019478259
"143","ENSRNOG00000018445","Agt",-2.84883123610165,1.11715830621173e-16,NA,NA,-0.6304358,0.042787159
"144","ENSRNOG00000018735","Cd74",-2.8160269876591,6.66460089113639e-13,NA,NA,-0.6217903,0.037224187
"145","ENSRNOG00000019057","Prkcq",4.56633213787921,8.55261048086597e-11,1.4268923,0.00268594,NA,NA
"146","ENSRNOG00000019100","Kif2c",1.76012851536613,3.63488617802652e-09,1.703603,0.004650212,NA,NA
"147","ENSRNOG00000019271","Ulk4",1.88685960671893,0.00754037624406591,1.1298054,0.0253379,NA,NA
"148","ENSRNOG00000019290","Pskh1",-0.492847933444961,0.0198695770163004,NA,NA,-0.7709804,0.033591657
"149","ENSRNOG00000019424","Aspdh",-0.859056020984952,0.00601877734097972,NA,NA,-0.6153462,0.039003258
"150","ENSRNOG00000019481","Cyp8b1",-3.46118527457487,4.64628690433738e-07,NA,NA,-0.7626123,0.046152473
"151","ENSRNOG00000019573","Lcat",-2.7631391535229,1.46734601737783e-28,NA,NA,-0.6632137,0.045782966
"152","ENSRNOG00000019708","Ctsf",-1.10006075593659,3.12777981093074e-09,NA,NA,-0.6623708,0.021023337
"153","ENSRNOG00000020013","Psrc1",2.47008942075215,1.27072279811498e-08,2.3194292,0.01296085,NA,NA
"154","ENSRNOG00000020138","Slc4a3",1.78604705352817,5.20270895614439e-05,1.5862033,0.01513566,NA,NA
"155","ENSRNOG00000020317","Rab5if",-0.737618837441691,7.01199810977825e-06,NA,NA,-0.7395859,0.02345399
"156","ENSRNOG00000020350","Pacs1",1.47843330315404,9.28955704075229e-05,0.9318775,0.006975835,NA,NA
"157","ENSRNOG00000020451","Cd81",-2.24903355856921,5.2027340409189e-30,NA,NA,-0.7328258,0.021564359
"158","ENSRNOG00000020525","Col5a3",2.5374119923494,8.32983992035783e-05,1.2090817,0.03920979,NA,NA
"159","ENSRNOG00000020625","Mcpt1",5.92071401858699,2.38868042534931e-24,1.6849194,0.004650212,NA,NA
"160","ENSRNOG00000020636","Spint2",-0.99555662198333,0.000825771135151479,NA,NA,-0.7272714,0.008826043
"161","ENSRNOG00000020679","Icam1",-1.6184340137748,4.6673254178746e-05,NA,NA,-0.6230665,0.028397313
"162","ENSRNOG00000021031","Grn",0.653648373310487,0.029281758558292,NA,NA,-0.7415063,0.008369724
"163","ENSRNOG00000021207","Lgals12",6.83778432564053,1.42060678175933e-07,1.5969806,0.03769318,NA,NA
"164","ENSRNOG00000021316","Tmem98",-1.20618077711336,4.59430047313537e-07,NA,NA,-0.6916756,0.01534299
"165","ENSRNOG00000021405","Cyp2c7",-14.9382149431989,2.83614597682762e-39,NA,NA,-0.9086852,0.021263767
"166","ENSRNOG00000021560","Cass4",2.6802852231141,0.000340793794200891,1.5653684,0.03301029,NA,NA
"167","ENSRNOG00000021713","Kif18b",3.38645230754618,1.3389976857382e-17,1.1611223,0.03889678,NA,NA
"168","ENSRNOG00000022261","Cenpu",2.95900576138011,1.49821272430884e-17,2.471082,0.01067827,NA,NA
"169","ENSRNOG00000022499","Sgo1",2.78476001894535,9.55710938546646e-14,1.3876588,0.04101374,NA,NA
"170","ENSRNOG00000023708","Tmem176a",-2.94954975456617,2.07973230727486e-10,NA,NA,-0.8424692,0.022461885
"171","ENSRNOG00000023856","Agxt",-2.27931977438927,1.18660153485001e-09,NA,NA,-0.6603048,0.031935519
"172","ENSRNOG00000024384","Cpn2",-2.13963599637611,5.41104677780083e-22,NA,NA,-0.6528369,0.020325138
"173","ENSRNOG00000024650","Ckap2",0.925295929794892,0.00612284707806528,1.2535681,0.0397876,NA,NA
"174","ENSRNOG00000024651","Greb1",1.74834579518843,0.0075479886890075,0.9490181,0.03736947,NA,NA
"175","ENSRNOG00000024705","Rarres2",-5.37465103293715,1.99511399107449e-76,NA,NA,-0.6256551,0.041013737
"176","ENSRNOG00000024824","Col22a1",-2.36317320023103,3.13792833948018e-05,0.9467412,0.03137752,NA,NA
"177","ENSRNOG00000025300","Fer1l6",2.60980277759465,5.61808463962242e-08,0.9589561,0.0367488,NA,NA
"178","ENSRNOG00000025848","Sspo",1.42801185224941,0.0110711136626385,1.0234646,0.04384811,NA,NA
"179","ENSRNOG00000026120","Fam8a1",-1.66110216464951,2.64523180573159e-08,NA,NA,-0.7319099,0.02345399
"180","ENSRNOG00000026163","Cpt1c",1.00645533713348,0.0133991385707235,1.1121204,0.03134554,NA,NA
"181","ENSRNOG00000026488","Gltpd2",-1.2997649850991,1.58353855075321e-06,NA,NA,-0.7449106,0.04729151
"182","ENSRNOG00000027037","Alox12",3.99765540143309,4.88384446435343e-12,1.3362682,0.04615247,NA,NA
"183","ENSRNOG00000027797","Nit2",-1.35850944369713,1.01922774919367e-09,NA,NA,-0.578958,0.049027058
"184","ENSRNOG00000027894","Iqgap3",1.24391278916752,0.000989511382234782,1.1269124,0.03095457,NA,NA
"185","ENSRNOG00000027936","Ccdc8",6.49942191892082,4.92220265848457e-43,1.9558501,0.03251633,NA,NA
"186","ENSRNOG00000028627","Hmcn1",2.15393283871585,2.87734505129078e-05,0.5918217,0.04482953,NA,NA
"187","ENSRNOG00000028844","Slc9a5",2.63690471263671,3.97874950025085e-05,1.3591234,0.017829,NA,NA
"188","ENSRNOG00000028926","RGD1559662",8.06818546377652,5.27939197938244e-35,2.8279795,0.03407712,NA,NA
"189","ENSRNOG00000029055","Ttk",1.50392825344053,8.18962169915577e-05,1.394933,0.04669707,NA,NA
"190","ENSRNOG00000029500","Tapbp",-0.618333272621594,0.00335886391157766,NA,NA,-0.7401605,0.016207499
"191","ENSRNOG00000029938","Pik3c2b",2.24982298345425,7.03745863407931e-08,0.9123158,0.02123621,NA,NA
"192","ENSRNOG00000030515","Nfasc",-0.799804648335537,0.0121609802667154,1.3908864,0.006769868,NA,NA
"193","ENSRNOG00000031612","Gls2",-2.55019370642412,2.16280499699729e-33,NA,NA,-0.6429616,0.043044085
"194","ENSRNOG00000031766","CYTB",-1.24774071214254,0.0292035881666426,0.7898899,0.03722419,NA,NA
"195","ENSRNOG00000031782","Col6a4",6.04237056739466,9.2597188866653e-08,1.5081786,0.003837296,NA,NA
"196","ENSRNOG00000031997","Ttll7",-1.31403242220982,0.0116955122524881,1.0415271,0.01126499,NA,NA
"197","ENSRNOG00000032381","Naglu",-0.745398410165892,0.000183178965321834,NA,NA,-0.7734286,0.028320643
"198","ENSRNOG00000032778","Bub1",1.88913287393573,2.91194425896258e-07,1.6074177,0.02712397,NA,NA
"199","ENSRNOG00000032840","Sumo4",0.8098441040201,0.000207352890137092,NA,NA,-0.9559558,0.048500543
"200","ENSRNOG00000033026","Dclk3",3.08847934862464,0.00017164434619802,1.6165327,0.02597159,NA,NA
"201","ENSRNOG00000037865","Hormad2",3.35289119105559,2.08053828600715e-21,2.1551404,0.008304779,NA,NA
"202","ENSRNOG00000037911","LOC680227",0.831020461707057,0.000917392119048766,1.4815382,0.01484135,NA,NA
"203","ENSRNOG00000039405","Prss29",7.0175119161936,1.05098334530634e-10,2.3831346,0.02167928,NA,NA
"204","ENSRNOG00000039473","Ccdc152",-0.826658780714239,0.0341492155800088,NA,NA,-0.9605391,0.017829005
"205","ENSRNOG00000039656","Abca17",1.92512018852704,0.0152710560041313,0.9457905,0.04181611,NA,NA
"206","ENSRNOG00000039754","Rab7b",2.6824925387699,1.89359615854089e-11,1.7239338,0.04656302,NA,NA
"207","ENSRNOG00000039980","Slc25a5",-0.651336349332873,0.0042188316347759,NA,NA,-0.8033434,0.010167354
"208","ENSRNOG00000042029","Efs",2.62713612856865,0.0002052732460784,1.2211022,0.03434025,NA,NA
"209","ENSRNOG00000042224","Cyp2j10",-4.28724340268364,2.71488742856176e-93,NA,NA,-0.6361925,0.038889294
"210","ENSRNOG00000042771","Apol3",-2.83062186678192,2.69336727000938e-24,NA,NA,-0.6413063,0.030028105
"211","ENSRNOG00000042785","Sesn2",-2.30806905827997,1.49922457759596e-18,NA,NA,-0.668489,0.022365516
"212","ENSRNOG00000042912","Mycbpap",2.85966396894059,0.00035985765334671,1.4070562,0.006995421,NA,NA
"213","ENSRNOG00000045626","Pkd1l2",1.76914639272295,0.00683914040974182,0.8221689,0.03359166,NA,NA
"214","ENSRNOG00000046007","Cldn3",-5.19373285799755,1.25045167448279e-40,NA,NA,-0.6470464,0.015135656
"215","ENSRNOG00000046307","Glyctk",-1.86199692999122,5.48698033088124e-13,NA,NA,-0.6077473,0.03308625
"216","ENSRNOG00000046540","Ugt2b",-7.54434964458932,5.7505670264608e-102,NA,NA,-0.7976846,0.03095457
"217","ENSRNOG00000047647","Il2ra",2.94166725837296,3.76084581650599e-05,2.0468021,0.02077939,NA,NA
"218","ENSRNOG00000049937","Pdxk",-1.48958304010503,7.00886002646292e-08,NA,NA,-0.7826492,0.026792061
"219","ENSRNOG00000049991","Mcpt8",5.8151715694193,1.92545967754989e-39,1.543765,0.02597159,NA,NA
"220","ENSRNOG00000051257"," ",1.84667543423285,0.0264462022405836,3.6537832,0.0001843583,NA,NA
"221","ENSRNOG00000051912","Acnat2",-4.68495636697954,1.08062777639889e-11,NA,NA,-0.6742611,0.028959013
"222","ENSRNOG00000052604","LOC100361907",-0.982189612682586,0.00457292971675967,NA,NA,-0.8869588,0.044256069
"223","ENSRNOG00000053040"," ",-2.96085079220972,1.82436287305269e-21,NA,NA,-0.9011569,0.01824136
"224","ENSRNOG00000053317","Efcab11",2.31119528000867,5.18602773464096e-06,2.7889741,0.01636692,NA,NA
"225","ENSRNOG00000053795"," ",1.15383296765224,0.00764132701864486,NA,NA,-1.1831947,0.042909069
"226","ENSRNOG00000053889","Celsr3",2.50659610965766,3.00857480791223e-07,1.1844555,0.01640937,NA,NA
"227","ENSRNOG00000053948"," ",2.68554268962135,7.03915100979355e-10,1.5478919,0.007223577,NA,NA
"228","ENSRNOG00000054052","Ppp4r4",-2.43223033793445,1.7591400191284e-05,1.0106387,0.03132562,NA,NA
"229","ENSRNOG00000054077"," ",-4.2501925889971,2.94474539744787e-21,NA,NA,-0.6483766,0.049837056
"230","ENSRNOG00000054142","Slc30a2",2.15349763283925,0.000875038277904696,1.9729242,0.007551574,NA,NA
"231","ENSRNOG00000055295","Pecr",-1.21607350707217,0.000637498684666977,NA,NA,-0.5754214,0.047191697
"232","ENSRNOG00000055790","Nup210l",2.9899320237012,8.33841643893402e-05,1.4806232,0.002934063,NA,NA
"233","ENSRNOG00000056174","Pdzd4",2.24550187330608,0.000279617774930886,1.5985242,0.03069049,NA,NA
"234","ENSRNOG00000056524","Abcd1",-3.17942647358279,5.78440881033311e-54,NA,NA,-0.6376692,0.049012641
"235","ENSRNOG00000056688","Acnat1",-4.52536949751955,1.77048221528843e-12,NA,NA,-0.6321113,0.025218743
"236","ENSRNOG00000056834"," ",3.05815509992182,1.23991487764243e-05,NA,NA,-1.3030919,0.021236207
