"","ENSEMBL","SYMBOL","Single-Adult_logFC","Single-Adult_FDR","Colony_Host_logFC","Colony_Host_FDR","Colony_Host_logFC","Colony_Host_FDR"
"47","ENSRNOG00000007002","Lif",4.01939466244072,5.75716891515149e-07,1.7163595,0.02712397,NA,NA
"48","ENSRNOG00000007100","Ccdc136",2.15430045183551,3.09431396936924e-05,1.1906144,0.008804004,NA,NA
"49","ENSRNOG00000007203","Psmc6",-1.05963742038449,6.06338593010312e-09,NA,NA,-0.7372148,0.019391688
"50","ENSRNOG00000007206","Cfap20dc",2.04602449341369,0.00012076706773047,1.5795629,0.007841299,NA,NA
"51","ENSRNOG00000007229","Nr0b2",-6.48157218654132,2.321111483473e-38,NA,NA,-0.9951182,0.022358107
"52","ENSRNOG00000007281","Flnc",2.16464970666895,3.41969220164136e-06,1.3126675,0.01296085,NA,NA
"53","ENSRNOG00000007769","Marchf2",-0.723490254984674,0.00322584412912528,NA,NA,-0.6016371,0.049390557
"54","ENSRNOG00000007869","Wscd1",1.69117071537085,1.07663990892896e-05,1.2478207,0.00896302,NA,NA
"55","ENSRNOG00000008082","Rgs6",1.13110219098465,0.0408577657006989,1.010195,0.009547524,NA,NA
"56","ENSRNOG00000008219","Ccdc33",6.91083996566342,2.93378115044843e-11,1.3357945,0.02603852,NA,NA
"57","ENSRNOG00000008356","Myo5c",5.92577286544934,6.64818986083453e-31,0.9095075,0.04939056,NA,NA
"58","ENSRNOG00000008569","Ndufa6",-0.715797582984489,0.00100444665245766,NA,NA,-0.612259,0.049012641
"59","ENSRNOG00000008600","Sytl1",1.87765670189519,0.00678440849136306,2.2654622,0.0162075,NA,NA
"60","ENSRNOG00000008638","Angptl3",-2.02876526643606,4.00086617151001e-18,NA,NA,-0.7353939,0.04131546
"61","ENSRNOG00000008728","Unc79",2.18962752454018,5.17471472705025e-05,1.2047797,0.007551574,NA,NA
"62","ENSRNOG00000008761","Ncs1",4.45617136807828,4.91707133097281e-17,1.5401208,0.03359166,NA,NA
"63","ENSRNOG00000008855","Gjb2",-2.05635263784847,8.50820747736749e-22,NA,NA,-0.6504841,0.028674775
"64","ENSRNOG00000008937","Csrp1",-1.4680578742548,1.38634273726613e-06,NA,NA,-0.6258943,0.037771289
"65","ENSRNOG00000009198","Rab6b",1.11119228584823,0.0419793485518447,1.6779609,0.04637918,NA,NA
"66","ENSRNOG00000009339","Cenpe",2.90953790371801,2.70926321045194e-13,1.3197964,0.001788029,NA,NA
"67","ENSRNOG00000009686","Aqp7",4.53826493380634,5.5775328532092e-31,2.3059112,0.02895896,NA,NA
"68","ENSRNOG00000009741","Cyp4a3",-1.55104220127513,3.1129788791048e-06,NA,NA,-0.6365512,0.045038079
"69","ENSRNOG00000009778","Tmem59",-1.27227415875652,2.33289125095155e-12,NA,NA,-0.5361109,0.046152473
"70","ENSRNOG00000009797","Aqp3",6.58800000015852,9.65117836207278e-33,1.5166401,0.04939056,NA,NA
"71","ENSRNOG00000009921","Serpina3m",-7.291380968031,1.58542592540488e-81,NA,NA,-0.7490956,0.013375569
"72","ENSRNOG00000010067","Lypla2",-0.840462505214418,1.13731365885237e-07,NA,NA,-0.8134752,0.049997394
"73","ENSRNOG00000010325","Ptger3",-5.01320071178105,4.40462214646843e-39,NA,NA,-0.7273601,0.019733676
"74","ENSRNOG00000010326","Col20a1",1.75226010179869,0.0044188943653593,1.5682924,0.002088466,NA,NA
"75","ENSRNOG00000010350","Rcan2",-4.78459503545578,9.70294491638672e-26,NA,NA,-0.8003672,0.019478259
"76","ENSRNOG00000010423","Misp",4.26912985327569,3.44071100673977e-05,3.1691003,0.006421703,NA,NA
"77","ENSRNOG00000010800","Hadhb",0.787945174484465,0.000359832438358855,NA,NA,-0.6321272,0.026885698
"78","ENSRNOG00000010899","Bfsp2",3.91722517669172,8.8449442445647e-09,1.60981,0.02839731,NA,NA
"79","ENSRNOG00000010929","Tcam1",3.52610877867821,0.0166424990992809,1.5594968,0.02885864,NA,NA
"80","ENSRNOG00000011016","Slc7a2",-1.46278877659648,3.86293229963768e-05,NA,NA,-0.6730438,0.01296085
"81","ENSRNOG00000011053","Cyp2u1",-3.20546914106259,2.72079982836784e-27,NA,NA,-0.6602996,0.045134772
"82","ENSRNOG00000011063","Dennd1b",-1.65924794332729,0.000885380152977225,NA,NA,-0.604482,0.037693179
"83","ENSRNOG00000011119","Spin1",-1.7300029809881,2.77732850830064e-10,NA,NA,-0.777576,0.030690491
"84","ENSRNOG00000011300","Lama3",-1.06093535274191,0.00126394075493575,0.794039,0.01615474,NA,NA
"85","ENSRNOG00000011421","Smap2",-0.428570927472063,0.0163311911392938,NA,NA,-0.5788496,0.038161033
"86","ENSRNOG00000011592","Lrp10",-1.2709743963869,2.19176879414049e-13,NA,NA,-0.6086952,0.042263532
"87","ENSRNOG00000011612","Tdo2",-7.12494283556353,2.43331085987941e-43,NA,NA,-0.6747071,0.041966814
"88","ENSRNOG00000011659","Alpk3",5.49964614509023,1.36456507916921e-13,1.0730787,0.03735942,NA,NA
"89","ENSRNOG00000011688","Neil3",2.96595326003973,7.23874103433121e-06,2.0179996,0.03704407,NA,NA
"90","ENSRNOG00000011705","Stmn2",2.18641809864339,6.91602227188826e-05,2.0725284,0.047723,NA,NA
"91","ENSRNOG00000011781","Oplah",-2.97136853572975,3.5607576445024e-35,NA,NA,-0.6158048,0.028338815
"92","ENSRNOG00000011892","Slc36a2",6.51447885372897,5.53911178593456e-102,2.0580405,0.01835416,NA,NA
"93","ENSRNOG00000012110","Col17a1",3.32867924690054,5.54137864571158e-06,1.25761,0.00268594,NA,NA
"94","ENSRNOG00000012156","Ostf1",-0.600131864860461,0.0114094568017768,NA,NA,-0.8734264,0.0194235
"95","ENSRNOG00000012543","Mcm3",3.84509489371354,2.91175928170343e-30,1.0965884,0.01006997,NA,NA
"96","ENSRNOG00000012751","Tm9sf2",-0.438594551250897,0.0390323413229346,NA,NA,-0.6784657,0.030189989
"97","ENSRNOG00000012835","Espl1",3.12041733144394,7.95955988171739e-15,1.2988038,0.01903318,NA,NA
"98","ENSRNOG00000012843","Aspg",-6.72758976349053,1.0893974833233e-85,NA,NA,-0.7214049,0.028519046
"99","ENSRNOG00000012892","Abca4",2.59072062569108,2.815882230603e-06,1.1686873,0.002062951,NA,NA
"100","ENSRNOG00000013069","Sapcd2",1.50481133588085,1.74065310853686e-05,2.3026336,0.03986986,NA,NA
"101","ENSRNOG00000013280","Olfm4",2.87491620974483,0.00777818009939424,2.2281734,0.04998032,NA,NA
"102","ENSRNOG00000013679","Sema4d",1.91290601677836,3.03946131182876e-05,0.9639839,0.04226353,NA,NA
"103","ENSRNOG00000014164","Paqr5",1.80508629190425,0.0151045244243066,1.5549198,0.01308689,NA,NA
"104","ENSRNOG00000014481","Adtrp",-3.75767113993338,4.26143675253096e-54,NA,NA,-0.6495262,0.04929949
"105","ENSRNOG00000014555","Aox4",3.48583119030763,1.91160621187645e-05,1.4352417,0.01016735,NA,NA
"106","ENSRNOG00000014835","Il1rl1",2.05236641177619,0.00848213016241795,1.2934964,0.01857634,NA,NA
"107","ENSRNOG00000014896","Adgrg3",3.72314542605088,5.64300131283119e-05,1.8130725,0.04081706,NA,NA
"108","ENSRNOG00000015304","Tmem160",-1.57199112005712,1.3778873008762e-13,NA,NA,-1.0159842,0.033374994
"109","ENSRNOG00000015394","Trpv5",4.71792475250134,4.32984614445003e-08,1.6470714,0.03359166,NA,NA
"110","ENSRNOG00000015581","Dnah6",-3.69282383417459,3.06458678521507e-12,0.9601848,0.02077939,NA,NA
"111","ENSRNOG00000015794","Fam83d",2.20261402140741,1.23169837671014e-13,1.9123633,0.01671381,NA,NA
"112","ENSRNOG00000015913","Tspan5",2.42307739299065,2.00382019224639e-14,1.2367137,0.02839731,NA,NA
"113","ENSRNOG00000015957","F13a1",4.38366451685953,1.17674658339769e-10,1.4387966,0.01585739,NA,NA
"114","ENSRNOG00000015991","Npr2",1.45800397786263,6.45111731124615e-05,0.7834366,0.04226353,NA,NA
"115","ENSRNOG00000016437","Tm4sf4",-1.80509252826063,2.20610070266256e-11,NA,NA,-0.7872932,0.005228979
"116","ENSRNOG00000016496","Ctsc",-2.0077223808994,7.37930764454949e-20,NA,NA,-0.7445126,0.01117913
"117","ENSRNOG00000016505","Fam169a",5.11220818953387,4.55652668192542e-11,1.5991701,0.02345399,NA,NA
"118","ENSRNOG00000016544","Arhgef28",4.5924053466166,2.32770034627839e-31,0.9975892,0.03069049,NA,NA
"119","ENSRNOG00000016550","Dclk2",1.5670094433395,0.00233949510528211,0.9914483,0.02676421,NA,NA
"120","ENSRNOG00000016753","Slc14a1",5.19843571174553,5.85854145519076e-26,1.4671425,0.03849369,NA,NA
"121","ENSRNOG00000016812","Adamts16",5.5681801195192,1.24731473397616e-14,1.5816892,0.00896302,NA,NA
"122","ENSRNOG00000017027","Adam2",5.28457771872508,7.64806852535e-26,1.8683318,0.006975835,NA,NA
"123","ENSRNOG00000017118","P4ha3",0.980952680136864,0.0218513189552952,1.6581065,0.0170551,NA,NA
"124","ENSRNOG00000017120","Abhd2",-4.67772639614816,4.65105733719409e-51,NA,NA,-0.6065203,0.037771289
"125","ENSRNOG00000017127","Rpl28",1.34967228606394,1.04065991720343e-08,NA,NA,-0.732723,0.019936322
"126","ENSRNOG00000017130","Rhd",6.52285962748357,2.11685333074694e-45,1.6748038,0.02090624,NA,NA
"127","ENSRNOG00000017237","Lama1",4.50548274854457,5.24499366395727e-17,1.3902979,0.01020177,NA,NA
"128","ENSRNOG00000017283","Kcnt1",1.61777350694875,0.00682528887071891,1.1017331,0.03900326,NA,NA
"129","ENSRNOG00000017424","Chrna2",3.78315971826974,6.44835075890589e-12,1.9931608,0.003902677,NA,NA
"130","ENSRNOG00000017496","Cnp",-0.620399283479013,0.0231895842749738,NA,NA,-0.7248979,0.036177252
"131","ENSRNOG00000017597","Fbp1",-1.69517186648692,0.00223977880008717,NA,NA,-0.649541,0.020147358
"132","ENSRNOG00000017908","Pnliprp1",7.03184238282796,1.32872235747867e-13,1.5743244,0.04578297,NA,NA
"133","ENSRNOG00000017977","Smpd1",-1.22016280777686,8.79281999804481e-10,NA,NA,-0.7151843,0.025480961
"134","ENSRNOG00000018111","Slc12a5",1.20232790155828,0.00697084394240385,1.0618829,0.03045269,NA,NA
"135","ENSRNOG00000018241","Ank1",6.40131472456384,6.60350725229132e-31,1.4908016,0.003902677,NA,NA
"136","ENSRNOG00000018254","Sncaip",4.30392216127396,5.14962954973311e-09,1.2421151,0.02867477,NA,NA
"137","ENSRNOG00000018402","Apoc2",-0.827470742163919,0.0090967365180891,NA,NA,-0.7063241,0.019478259
"138","ENSRNOG00000018445","Agt",-2.81963336353686,2.09048962246032e-16,NA,NA,-0.6304358,0.042787159
"139","ENSRNOG00000018735","Cd74",-2.65813703519353,8.97914805320062e-12,NA,NA,-0.6217903,0.037224187
"140","ENSRNOG00000018982","Entpd3",2.30623993094516,0.010757579743624,1.4739419,0.04316077,NA,NA
"141","ENSRNOG00000019057","Prkcq",3.74391430136995,1.05230767400815e-06,1.4268923,0.00268594,NA,NA
"142","ENSRNOG00000019100","Kif2c",1.92459260012071,1.08545272697384e-10,1.703603,0.004650212,NA,NA
"143","ENSRNOG00000019271","Ulk4",1.47379602974373,0.0477094816728882,1.1298054,0.0253379,NA,NA
"144","ENSRNOG00000019290","Pskh1",-0.45743631283494,0.0319141208261769,NA,NA,-0.7709804,0.033591657
"145","ENSRNOG00000019424","Aspdh",-1.06381629260107,0.000617242401829992,NA,NA,-0.6153462,0.039003258
"146","ENSRNOG00000019481","Cyp8b1",-3.48496493807409,3.97637679612029e-07,NA,NA,-0.7626123,0.046152473
"147","ENSRNOG00000019573","Lcat",-2.76433030549708,1.38197813024624e-28,NA,NA,-0.6632137,0.045782966
"148","ENSRNOG00000019708","Ctsf",-1.17128045695673,2.75348829279043e-10,NA,NA,-0.6623708,0.021023337
"149","ENSRNOG00000019859","Pla2g15",-0.999202746533161,8.69229487288972e-05,NA,NA,-0.7742939,0.014841353
"150","ENSRNOG00000020013","Psrc1",2.89700161366546,3.2803835405592e-12,2.3194292,0.01296085,NA,NA
"151","ENSRNOG00000020138","Slc4a3",2.10046406458958,1.26024245857978e-06,1.5862033,0.01513566,NA,NA
"152","ENSRNOG00000020317","Rab5if",-0.68889883968406,2.86449416243211e-05,NA,NA,-0.7395859,0.02345399
"153","ENSRNOG00000020350","Pacs1",1.65601899708687,1.12860782021076e-05,0.9318775,0.006975835,NA,NA
"154","ENSRNOG00000020451","Cd81",-2.15642812922844,7.10856255140226e-28,NA,NA,-0.7328258,0.021564359
"155","ENSRNOG00000020525","Col5a3",2.7306517812023,2.16323845512745e-05,1.2090817,0.03920979,NA,NA
"156","ENSRNOG00000020625","Mcpt1",5.53249725122154,4.94540842120685e-21,1.6849194,0.004650212,NA,NA
"157","ENSRNOG00000020636","Spint2",-1.1692641659591,8.06562429777069e-05,NA,NA,-0.7272714,0.008826043
"158","ENSRNOG00000020679","Icam1",-1.36847635968078,0.000593263750780614,NA,NA,-0.6230665,0.028397313
"159","ENSRNOG00000021207","Lgals12",6.90612459052549,9.83141494632688e-08,1.5969806,0.03769318,NA,NA
"160","ENSRNOG00000021316","Tmem98",-1.23276099866899,2.54453925736634e-07,NA,NA,-0.6916756,0.01534299
"161","ENSRNOG00000021405","Cyp2c7",-7.17523932436276,3.07485203893441e-17,NA,NA,-0.9086852,0.021263767
"162","ENSRNOG00000021560","Cass4",2.41310603871903,0.00192651918878422,1.5653684,0.03301029,NA,NA
"163","ENSRNOG00000021713","Kif18b",4.00397214310608,3.63078546847277e-23,1.1611223,0.03889678,NA,NA
"164","ENSRNOG00000022261","Cenpu",3.07371057065678,7.64312616953487e-19,2.471082,0.01067827,NA,NA
"165","ENSRNOG00000022499","Sgo1",3.19772364967188,1.52541642151629e-17,1.3876588,0.04101374,NA,NA
"166","ENSRNOG00000023708","Tmem176a",-3.60211850843031,3.48546199666943e-14,NA,NA,-0.8424692,0.022461885
"167","ENSRNOG00000023856","Agxt",-2.32484032344351,5.67307057322823e-10,NA,NA,-0.6603048,0.031935519
"168","ENSRNOG00000024384","Cpn2",-2.01307974282965,9.22092998742608e-20,NA,NA,-0.6528369,0.020325138
"169","ENSRNOG00000024650","Ckap2",1.12079644522379,0.000821217943660381,1.2535681,0.0397876,NA,NA
"170","ENSRNOG00000024705","Rarres2",-5.08455514178991,2.64275351881204e-70,NA,NA,-0.6256551,0.041013737
"171","ENSRNOG00000024824","Col22a1",-4.25647428335204,1.1324068814906e-09,0.9467412,0.03137752,NA,NA
"172","ENSRNOG00000025300","Fer1l6",2.70858992422715,1.40681621532172e-08,0.9589561,0.0367488,NA,NA
"173","ENSRNOG00000025848","Sspo",1.17828614459295,0.0422091335837902,1.0234646,0.04384811,NA,NA
"174","ENSRNOG00000026065","Slit1",1.89642619761103,0.00728052688000628,1.4510019,0.003902677,NA,NA
"175","ENSRNOG00000026120","Fam8a1",-1.36225178237208,4.80592843241482e-06,NA,NA,-0.7319099,0.02345399
"176","ENSRNOG00000026163","Cpt1c",0.82878010993061,0.0459205264038051,1.1121204,0.03134554,NA,NA
"177","ENSRNOG00000026488","Gltpd2",-1.37003640312907,4.18668144263995e-07,NA,NA,-0.7449106,0.04729151
"178","ENSRNOG00000027037","Alox12",4.21949311203865,1.61558333315261e-13,1.3362682,0.04615247,NA,NA
"179","ENSRNOG00000027797","Nit2",-1.48932395860692,2.2002154660913e-11,NA,NA,-0.578958,0.049027058
"180","ENSRNOG00000027894","Iqgap3",1.38382643781065,0.000239290084000954,1.1269124,0.03095457,NA,NA
"181","ENSRNOG00000027911","Stkld1",3.2546778328206,0.0022793648430067,1.3905966,0.04664062,NA,NA
"182","ENSRNOG00000027936","Ccdc8",6.2258943879685,1.06750249358078e-38,1.9558501,0.03251633,NA,NA
"183","ENSRNOG00000028627","Hmcn1",2.49306164536799,1.16029456123183e-06,0.5918217,0.04482953,NA,NA
"184","ENSRNOG00000028844","Slc9a5",2.27226068220715,0.000646366390009853,1.3591234,0.017829,NA,NA
"185","ENSRNOG00000029055","Ttk",1.69072259047055,9.13055070080043e-06,1.394933,0.04669707,NA,NA
"186","ENSRNOG00000029500","Tapbp",-0.680563027871231,0.00120391910253267,NA,NA,-0.7401605,0.016207499
"187","ENSRNOG00000029938","Pik3c2b",2.12489424119472,3.65058367827044e-07,0.9123158,0.02123621,NA,NA
"188","ENSRNOG00000030126","Clk3",0.462690716359917,0.045706664683274,NA,NA,-0.5593927,0.043388665
"189","ENSRNOG00000030515","Nfasc",-0.864619703007177,0.00678202050115196,1.3908864,0.006769868,NA,NA
"190","ENSRNOG00000031612","Gls2",-2.51338326450702,1.4229769816738e-32,NA,NA,-0.6429616,0.043044085
"191","ENSRNOG00000031766","CYTB",-1.27269088862741,0.0264511507887831,0.7898899,0.03722419,NA,NA
"192","ENSRNOG00000031782","Col6a4",6.04241813852369,9.45244678512894e-08,1.5081786,0.003837296,NA,NA
"193","ENSRNOG00000032381","Naglu",-0.836674380894977,2.59426067463684e-05,NA,NA,-0.7734286,0.028320643
"194","ENSRNOG00000032778","Bub1",2.10936488055975,1.09964896842308e-08,1.6074177,0.02712397,NA,NA
"195","ENSRNOG00000032840","Sumo4",0.879033603196577,5.34905263126319e-05,NA,NA,-0.9559558,0.048500543
"196","ENSRNOG00000033026","Dclk3",3.11117905168902,0.000152246995453748,1.6165327,0.02597159,NA,NA
"197","ENSRNOG00000037865","Hormad2",3.36762419432333,1.26162935525388e-21,2.1551404,0.008304779,NA,NA
"198","ENSRNOG00000037911","LOC680227",0.984456057007916,7.55266816327571e-05,1.4815382,0.01484135,NA,NA
"199","ENSRNOG00000039473","Ccdc152",-1.03669424629588,0.00733981031945779,NA,NA,-0.9605391,0.017829005
"200","ENSRNOG00000039754","Rab7b",2.73247055303783,6.58563467582475e-12,1.7239338,0.04656302,NA,NA
"201","ENSRNOG00000039980","Slc25a5",-0.706084850105121,0.00186478050337114,NA,NA,-0.8033434,0.010167354
"202","ENSRNOG00000042029","Efs",2.93359943804982,2.78710201199823e-05,1.2211022,0.03434025,NA,NA
"203","ENSRNOG00000042224","Cyp2j10",-3.96655839747191,9.74513990125029e-83,NA,NA,-0.6361925,0.038889294
"204","ENSRNOG00000042771","Apol3",-2.87426920415487,6.24918700108866e-25,NA,NA,-0.6413063,0.030028105
"205","ENSRNOG00000042785","Sesn2",-2.28255306409429,3.38699015842107e-18,NA,NA,-0.668489,0.022365516
"206","ENSRNOG00000042912","Mycbpap",2.2001942867107,0.0087346417641559,1.4070562,0.006995421,NA,NA
"207","ENSRNOG00000045626","Pkd1l2",1.45557658018159,0.0325120366589439,0.8221689,0.03359166,NA,NA
"208","ENSRNOG00000046007","Cldn3",-5.17908871105219,1.79316762768631e-40,NA,NA,-0.6470464,0.015135656
"209","ENSRNOG00000046307","Glyctk",-1.78304774766392,4.63035903027022e-12,NA,NA,-0.6077473,0.03308625
"210","ENSRNOG00000046540","Ugt2b",-6.3047937628489,3.17838669978526e-80,NA,NA,-0.7976846,0.03095457
"211","ENSRNOG00000047647","Il2ra",3.19530804705197,4.6638795699578e-06,2.0468021,0.02077939,NA,NA
"212","ENSRNOG00000049937","Pdxk",-1.453240189487,1.39833613453107e-07,NA,NA,-0.7826492,0.026792061
"213","ENSRNOG00000051257"," ",2.18423081431993,0.00880242718103583,3.6537832,0.0001843583,NA,NA
"214","ENSRNOG00000051912","Acnat2",-4.83825785055036,3.1540163128645e-12,NA,NA,-0.6742611,0.028959013
"215","ENSRNOG00000052604","LOC100361907",-0.980276295968638,0.00470972323639608,NA,NA,-0.8869588,0.044256069
"216","ENSRNOG00000053040"," ",-3.14697068581771,1.32124858213187e-23,NA,NA,-0.9011569,0.01824136
"217","ENSRNOG00000053317","Efcab11",1.78680268936855,0.000736579535248029,2.7889741,0.01636692,NA,NA
"218","ENSRNOG00000053795"," ",1.11591548547281,0.0102290687555021,NA,NA,-1.1831947,0.042909069
"219","ENSRNOG00000053889","Celsr3",2.50107510628381,3.16024273643251e-07,1.1844555,0.01640937,NA,NA
"220","ENSRNOG00000053948"," ",2.75239734587754,2.21409983437188e-10,1.5478919,0.007223577,NA,NA
"221","ENSRNOG00000054052","Ppp4r4",-2.7830096129612,1.75279424322099e-06,1.0106387,0.03132562,NA,NA
"222","ENSRNOG00000054077"," ",-3.99805776731875,2.25779480507564e-19,NA,NA,-0.6483766,0.049837056
"223","ENSRNOG00000054142","Slc30a2",2.10103996061705,0.0012393579978022,1.9729242,0.007551574,NA,NA
"224","ENSRNOG00000055295","Pecr",-1.20076912303157,0.000761797711776604,NA,NA,-0.5754214,0.047191697
"225","ENSRNOG00000055790","Nup210l",2.70648407567932,0.000577808916120067,1.4806232,0.002934063,NA,NA
"226","ENSRNOG00000056174","Pdzd4",2.52596529288326,3.52992827780275e-05,1.5985242,0.03069049,NA,NA
"227","ENSRNOG00000056524","Abcd1",-3.27052941170461,2.07122240871215e-56,NA,NA,-0.6376692,0.049012641
"228","ENSRNOG00000056688","Acnat1",-4.47821914205029,2.66389403563671e-12,NA,NA,-0.6321113,0.025218743
"229","ENSRNOG00000056834"," ",2.84638513358796,6.83862250654856e-05,NA,NA,-1.3030919,0.021236207
"230","ENSRNOG00000057290","Tmem168",-1.20473072478735,1.31176135667821e-05,NA,NA,-1.0434246,0.049335601
"231","ENSRNOG00000057867","Mns1",1.7332618531525,0.000564254465268309,1.2425001,0.0170551,NA,NA
"232","ENSRNOG00000058271","Chpt1",-2.24104527327474,1.93880145676627e-21,NA,NA,-0.9159864,0.018067442
"233","ENSRNOG00000058386","Golt1b",1.04384690642017,2.93185388137478e-05,0.9938683,0.006002288,NA,NA
"234","ENSRNOG00000058645","Tnc",3.73660148207236,3.37174875247114e-10,1.4222912,0.005327057,NA,NA
"235","ENSRNOG00000059215","Slc66a2",-1.09210822948232,4.39672240622261e-07,NA,NA,-0.5937989,0.028959013
"236","ENSRNOG00000059330"," ",-6.95992402750983,2.03894454964958e-16,NA,NA,-0.8524906,0.008804004
