"","logFC","logCPM","LR","PValue","FDR","geneid","genesymbol","ENSEMBL"
"45","-4.68012187010821","5.28750970506523","417.952245256562","6.81030975898965e-93","1.65096246052139e-90","289392","Plxna2","ENSRNOG00000007324"
"46","-4.82799565488457","4.61583340175228","413.862685261516","5.28845221492128e-92","1.25992815009969e-89","304023","St3gal6","ENSRNOG00000001653"
"47","-6.64569265683639","5.42538669280185","413.760664946283","5.56589864915278e-92","1.30355233108463e-89","83711","Inhbe","ENSRNOG00000007601"
"48","-5.79246299008418","6.10149126134796","413.513771103983","6.2990724461559e-92","1.4506763843497e-89","288985","Insig2","ENSRNOG00000002478"
"49","-7.79235267493533","4.6869164187545","409.537357299008","4.62202234801951e-91","1.04700171811367e-88","286964","Hsd17b6","ENSRNOG00000002597"
"50","-6.50199132170474","4.08935820508644","409.064641972588","5.85774483462066e-91","1.30552126007723e-88","307092","Akr1c1","ENSRNOG00000038331"
"51","-4.90783056620888","6.37938848122714","405.683507379467","3.18953998643109e-90","6.99572437023885e-88","314800","Acss3","ENSRNOG00000004448"
"52","-4.96807628360717","4.33767229436867","405.384995548808","3.70431690762287e-90","7.9978517233645e-88","85496","Enpp1","ENSRNOG00000013994"
"53","-6.95639748289667","6.38370959959128","400.781978968983","3.72141473077847e-89","7.56213363969072e-87","690745","Mtarc1","ENSRNOG00000004101"
"54","-5.17367251442018","6.1708029615093","398.958393742453","9.28282087198598e-89","1.85898577984206e-86","171436","Mk1","ENSRNOG00000019657"
"55","-7.66752735402802","8.16844551380409","396.669494971361","2.92382396120549e-88","5.77162849941965e-86","140638","Apoa5","ENSRNOG00000018436"
"56","-7.20997670009714","8.52422225540048","396.489868031801","3.19929715707492e-88","6.22646311499455e-86","24346","Ces1c","ENSRNOG00000015438"
"57","-5.08402314488313","5.7586442972126","395.933344063107","4.22868866633448e-88","8.11555833214027e-86","81632","Abat","ENSRNOG00000002636"
"58","-5.46127671881442","4.94493362810833","395.666707619115","4.83337659009591e-88","9.14898598930758e-86","NULL"," ","ENSRNOG00000059851"
"59","-5.34504282923599","7.44403608562001","390.166884002567","7.61283525125693e-87","1.36615788963465e-84","25284","Amacr","ENSRNOG00000018662"
"60","-6.67534071386723","6.42926870903417","389.875018326835","8.81223222294984e-87","1.56112083149642e-84","79438","Igfals","ENSRNOG00000015061"
"61","-5.37610528414973","5.21910106936296","389.83002581618","9.0132385736828e-87","1.57651810900189e-84","292949","Perp","ENSRNOG00000011994"
"62","-6.41137923933114","6.81545716196943","389.2890870363","1.18207281697651e-86","2.04173527312268e-84","56759","Rnase4","ENSRNOG00000025625"
"63","-7.29462868319599","5.06021304122757","387.862322179468","2.4168825636137e-86","4.12302262518692e-84","63867","Ugt2a1","ENSRNOG00000001973"
"64","-7.91965603445633","6.92678149872345","385.702478753732","7.13618303111223e-86","1.18804550751697e-83","299276","Serpina3m","ENSRNOG00000009921"
"65","-5.93935442654788","5.79615482363433","385.635265635543","7.38072074128634e-86","1.2141285619416e-83","688887","Cfhr2","ENSRNOG00000021575"
"66","-7.63553718735073","8.16275421072586","383.974825892946","1.696644562956e-85","2.75814524363835e-83","24303","Cyp2d3","ENSRNOG00000029179"
"67","-5.41765752166907","5.89699273269869","374.787840750873","1.69726872770086e-83","2.66509764538301e-81","296925","Aass","ENSRNOG00000039494"
"68","-7.46484391685525","6.26891413503956","373.850095749376","2.71594192291933e-83","4.21672870684262e-81","84493","Fmo3","ENSRNOG00000003620"
"69","-5.4204273547821","7.27700334780322","372.262621637608","6.01942830210949e-83","9.24182891983877e-81","246298","Retsat","ENSRNOG00000014090"
"70","-5.489581517208","6.13602175368082","370.575007277252","1.40280549408556e-82","2.13010618871146e-80","83522","Acox3","ENSRNOG00000008474"
"71","-5.53871347716672","5.76839095415722","368.495255530333","3.97947149175817e-82","5.84982309288451e-80","299699","Aldh1l2","ENSRNOG00000008586"
"72","-6.30094679502404","5.68833352544465","368.273187011327","4.44812684211401e-82","6.46991754782436e-80","NULL"," ","ENSRNOG00000051860"
"73","-6.57770092729674","7.47634110084148","366.197842069628","1.25907951122142e-81","1.7753021108222e-79","25303","Abcc2","ENSRNOG00000046727"
