"","A1","A2","A3","A4","D1","D2","D3","D4","L1","L2","L3","L4","S1","S3","S4","S5"
"ENSRNOG00000061316",0.299930314749679,0.392687504765836,0.065897325928579,0.13525234141259,0,0,0.163097497697617,0,1.17911210757194,1.54411646645186,0.635706872336001,0.801560495441611,1.07886074515484,2.0269910113034,1.18075508589628,0.988343013507067
"ENSRNOG00000014303",66.1346344023042,97.1247095120834,57.0670842541494,64.7182453659245,7.99719700117064,7.1205847222331,2.93575495855711,4.71635286763929,27.4784386808069,23.8676288100131,28.447882537036,28.4053000572121,21.7179358698561,28.1014662930698,30.2498207720095,25.4004154471316
"ENSRNOG00000014330",19.1955401439794,19.176239816065,18.4512512600021,19.6115895048256,23.475642809888,21.8364598148482,29.3575495855711,25.9974572704019,20.8651577296426,34.0146798752682,30.6198810175174,25.9505210399222,42.638452928076,25.8902033716479,29.5188771474071,32.7635708977593
"ENSRNOG00000049505",1.42466899506097,3.01060420320474,2.70179036307174,2.36691597472033,6.44935242029891,4.03499800926542,7.01319240099754,8.74250775464844,4.30632247982795,8.69116982545764,5.98623971449734,4.45868025589396,8.53707198339916,5.38995337096585,6.24113402545178,7.11606969725088
"ENSRNOG00000014916",17.6958885702311,20.0270627430576,18.9125325415022,23.2634027229655,8.51314519479456,13.5291109722429,11.2537273411356,17.830114499612,14.2518767784782,18.220574304132,17.1111099803774,17.6844284306805,18.9973305125091,15.6631123600717,14.7875517900344,15.4181510107102
"ENSRNOG00000014996",10.0476655441142,9.22815636199714,10.6094694745012,8.4532713382869,13.1566789374098,22.311165462997,18.5931147375284,21.8562693866211,10.6632747119549,10.2794039052367,9.58857865773468,10.7208716265315,11.8674681967032,8.5225758429802,8.88377636055299,10.3281844911488
"ENSRNOG00000015239",75.8823696316688,77.4903342737916,66.2927098841504,71.00747924161,10.3189638724782,12.8170525000196,23.8122346638521,23.5817643381965,27.8885646312667,26.1617447030273,32.8448550706934,29.7078358623047,28.847798185662,30.3587971920213,32.4988780784787,30.2927133639916
"ENSRNOG00000015552",7.64822302611681,10.0135313715288,10.6753668004298,10.076299435238,11.3508602597261,15.4279335648384,14.6787747927856,20.2458074318174,10.8170719433774,16.6764578376801,10.5951145389333,11.2719444671477,16.4643531108412,12.6686938206462,12.4260416182418,13.0955449289686
"ENSRNOG00000016041",0.299930314749679,0.196343752382918,0.395383955571474,0.0676261707062952,5.15948193623912,8.78205449075416,7.33938739639278,5.40655084826943,0.717720413304658,0.485293746599158,0.847609163114668,0.400780247720806,0.375255911358205,0.644951685414717,0.674717191940733,0.543588657428887
"ENSRNOG00000016054",45.2894775272015,38.8760629718177,44.2830030240051,48.6232167378262,27.3452542620674,25.3967521759647,38.1648144612424,40.1465158733198,43.5246164925468,50.7352553262756,56.5779116379041,52.7026025752859,59.1028060389172,48.1410365184557,55.776621200434,55.7919631124739
"ENSRNOG00000016381",0.524878050811938,0.196343752382918,0.329486629642895,0.270504682825181,0.257974096811956,0.237352824074437,0.652389990790469,0.34509899031507,0.563923181882232,1.1029403331799,0.794633590420001,0.551072840616108,0.750511822716409,0.737087640473963,0.393585028632094,0.543588657428887
"ENSRNOG00000013160",24.9691987029108,24.2157294605599,21.0871442971453,38.2087864490568,7.48124880754673,2.6108810648188,2.12026747006902,3.10589091283563,13.9442823156334,9.22058118538399,14.462331345644,10.921261750392,7.73965317176297,18.1507831466713,13.831702434785,11.1682760526299
"ENSRNOG00000013351",13.6468293211104,11.6497293080531,10.6094694745012,14.6748790432661,79.9719700117064,123.660821342782,96.0644261438966,105.025126052553,11.9449183071418,12.5294021849237,11.0189191204907,25.0487654825503,13.0870499086174,12.9911696633536,9.83962571580236,11.8601161620848
"ENSRNOG00000042741",0.149965157374839,0.0654479174609726,0.197691977785737,0.13525234141259,5.15948193623912,7.83264319445641,5.7084124194166,7.59217778693154,0.153797231422427,0.132352839981588,0.0529755726946667,0.400780247720806,0.140720966759327,0.184271910118491,0,0
"ENSRNOG00000014258",10.4975610162388,11.3224897207483,9.95049621521542,9.40003772817503,13.9306012278456,13.5291109722429,8.64416737797372,6.09674882889957,15.0721286793978,7.58822949227774,7.20467788647468,7.86531236152081,6.19172253741038,8.43043988792095,5.73509613149623,4.15104065672968
"ENSRNOG00000014450",9.29783975724005,7.98464593023866,9.0938309781439,9.67054241100021,5.15948193623912,3.56029236111655,4.7298274332309,3.68105589669408,6.20315500070455,7.9411703988953,6.41004429605467,5.51072840616108,6.94223436012679,5.94276910132132,6.69094548674561,7.56082405332906
"ENSRNOG00000014852",6.8234146605552,5.56307298418267,4.54691548907195,7.57413111910506,11.86680845335,16.1399920370617,19.7347972214117,23.5817643381965,7.68986157112134,12.1764612783061,15.415891654148,9.91931113108994,21.2019589917386,15.2945685398347,23.333969554617,23.5225637214682
"ENSRNOG00000011058",33.6671778306515,26.5064065716939,25.3045731565743,33.7454591824413,73.5226175914075,68.3576133334378,68.5009490329993,57.4014653890733,19.0708566963809,18.8823385040399,21.0842779324774,18.886769173843,20.1230982465837,22.6654449445744,24.9645361018071,23.1766436667407
"ENSRNOG00000014902",0.299930314749679,0.130895834921945,0.131794651857158,0.13525234141259,11.608834356538,13.7664637963173,6.19770491250946,4.6013198708676,0.922783388534561,0.264705679963177,0.688682445030668,1.60312099088322,0.609790855957083,0.414611797766604,0.168679297985183,0.691840109454947
"ENSRNOG00000014908",23.9944251799743,29.3206670225157,35.9140426310755,28.402991696644,46.6933115229641,39.8752744445054,40.1219844336139,56.2511354213564,39.7822171946011,35.999972474992,42.1685558649547,43.4345593467423,36.2121954460668,38.4667612372349,38.8524649692539,37.4087830612425
"ENSRNOG00000025587",0.0749825786874197,0.0654479174609726,0.065897325928579,0,1.54784458087174,1.42411694444662,0.326194995395235,0.23006599354338,2.35822421514388,5.24999598593634,1.32438931736667,2.30448642439463,5.39430372577419,5.80456516873246,1.34943438388147,3.40978339659938
"ENSRNOG00000015217",12.5220906407991,12.1733126477409,14.1020277487159,12.6460939220772,14.7045235182815,11.8676412037218,18.4300172398308,27.4928862284339,15.5847861174726,15.3529294378643,15.6277939449267,14.3278938560188,17.4963068670763,16.2619960679568,14.1128345980937,16.8512483802955
"ENSRNOG00000015473",0.974773522936456,0.850822926992644,0.461281281500053,0.879140219181838,4.1275855489913,2.37352824074437,3.09885245625473,3.4509899031507,1.28164359518689,1.94117498639663,0.794633590420001,3.10604691983624,1.21958171191417,2.16519494389227,1.0120757879111,1.68018312296201
"ENSRNOG00000015551",17.0960279407317,19.2416877335259,11.7297240152871,17.5828043836368,8.2551710979826,4.27235083333986,4.56672993553328,3.56602289992239,20.1987030601454,13.0146959315229,16.4754031080414,17.6844284306805,11.3983983075055,15.8473842701902,15.7434011452838,18.3831800512314
