"","ENSEMBL"
"Aox4","ENSRNOG00000014555"
"Lama1","ENSRNOG00000017237"
"Cenpu","ENSRNOG00000022261"
"Fam189a2","ENSRNOG00000061147"
"Ttll7","ENSRNOG00000031997"
"Flnc","ENSRNOG00000007281"
"Psrc1","ENSRNOG00000020013"
"Paqr5","ENSRNOG00000014164"
"Egflam","ENSRNOG00000012058"
"LOC680227","ENSRNOG00000037911"
"Slc4a3","ENSRNOG00000020138"
"Mmd2","ENSRNOG00000001113"
"Slc6a1","ENSRNOG00000006527"
"Itk","ENSRNOG00000006860"
"F13a1","ENSRNOG00000015957"
"Fancd2","ENSRNOG00000061085"
"Lama3","ENSRNOG00000011300"
"Sytl1","ENSRNOG00000008600"
"Pole2","ENSRNOG00000004242"
"Efcab11","ENSRNOG00000053317"
"Celsr3","ENSRNOG00000053889"
"Fam83d","ENSRNOG00000015794"
"Mns1","ENSRNOG00000057867"
"Slc9a5","ENSRNOG00000028844"
"Slc36a2","ENSRNOG00000011892"
"Il1rl1","ENSRNOG00000014835"
"Trpv2","ENSRNOG00000003104"
"Espl1","ENSRNOG00000012835"
"Cpne5","ENSRNOG00000000522"
"Ppfia4","ENSRNOG00000003494"
"Dnah6","ENSRNOG00000015581"
"Il2ra","ENSRNOG00000047647"
"Rhd","ENSRNOG00000017130"
"Pik3c2b","ENSRNOG00000029938"
"Prss29","ENSRNOG00000039405"
"Chaf1b","ENSRNOG00000001692"
"Fam169a","ENSRNOG00000016505"
"Dnah17","ENSRNOG00000003028"
"Sptb","ENSRNOG00000006911"
"Ulk4","ENSRNOG00000019271"
"Mcpt8","ENSRNOG00000049991"
"Dclk3","ENSRNOG00000033026"
"Ccdc33","ENSRNOG00000008219"
"Dclk2","ENSRNOG00000016550"
"Bub1","ENSRNOG00000032778"
"Lif","ENSRNOG00000007002"
"Bfsp2","ENSRNOG00000010899"
"Tspan5","ENSRNOG00000015913"
"LOC686087","ENSRNOG00000058316"
"Sncaip","ENSRNOG00000018254"
"Tcam1","ENSRNOG00000010929"
"Aqp7","ENSRNOG00000009686"
"Arhgef28","ENSRNOG00000016544"
"Pdzd4","ENSRNOG00000056174"
"Iqgap3","ENSRNOG00000027894"
"Ppp4r4","ENSRNOG00000054052"
"Dnah11","ENSRNOG00000005451"
"Cpt1c","ENSRNOG00000026163"
"Col22a1","ENSRNOG00000024824"
"Ccdc8","ENSRNOG00000027936"
"Cass4","ENSRNOG00000021560"
"Ncs1","ENSRNOG00000008761"
"Pmp22","ENSRNOG00000003338"
"Trpv5","ENSRNOG00000015394"
"Pkd1l2","ENSRNOG00000045626"
"RGD1559662","ENSRNOG00000028926"
"Efs","ENSRNOG00000042029"
"Ephb1","ENSRNOG00000007865"
"Capn8","ENSRNOG00000003468"
"Katnal2","ENSRNOG00000017788"
"Fer1l6","ENSRNOG00000025300"
"Neil3","ENSRNOG00000011688"
"Ptprz1","ENSRNOG00000006030"
"Il16","ENSRNOG00000011680"
"CYTB","ENSRNOG00000031766"
"Alpk3","ENSRNOG00000011659"
"Greb1","ENSRNOG00000024651"
"Lgals12","ENSRNOG00000021207"
"Retnlg","ENSRNOG00000001943"
"Slc14a1","ENSRNOG00000016753"
"Cit","ENSRNOG00000001143"
"Kif18b","ENSRNOG00000021713"
"Kcnt1","ENSRNOG00000017283"
"Col5a3","ENSRNOG00000020525"
"Ckap2","ENSRNOG00000024650"
"Sapcd2","ENSRNOG00000013069"
"Msi1","ENSRNOG00000001156"
"Adgrg3","ENSRNOG00000014896"
"Sgo1","ENSRNOG00000022499"
"Igf2bp1","ENSRNOG00000006122"
"Abca17","ENSRNOG00000039656"
"Npr2","ENSRNOG00000015991"
"Sema4d","ENSRNOG00000013679"
"Snai3","ENSRNOG00000013586"
"Sspo","ENSRNOG00000025848"
"Ccl7","ENSRNOG00000000239"
"Hmcn1","ENSRNOG00000028627"
"Pnliprp1","ENSRNOG00000017908"
"RGD1311744","ENSRNOG00000005960"
"Alox12","ENSRNOG00000027037"
"Rab7b","ENSRNOG00000039754"
"Ttk","ENSRNOG00000029055"
"Capn6","ENSRNOG00000004882"
"Stmn2","ENSRNOG00000011705"
"Kif17","ENSRNOG00000014970"
"Myo5c","ENSRNOG00000008356"
"Aqp3","ENSRNOG00000009797"
"Olfm4","ENSRNOG00000013280"
