"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"47"," 1.567247e+00"," 3.039804e+00","2.005527e+01","7.523586e-06","2.945826e-03","ENSRNOG00000059013"
"48"," 1.370845e+00"," 3.439303e+00","2.004658e+01","7.557840e-06","2.945826e-03","ENSRNOG00000046276"
"49"," 2.335861e+00"," 1.446820e+00","1.995145e+01","7.943359e-06","3.032904e-03","ENSRNOG00000003183"
"50"," 1.850836e+00"," 1.770040e+00","1.987080e+01","8.285646e-06","3.100323e-03","ENSRNOG00000005206"
"51"," 2.036084e+00"," 1.765496e+00","1.975777e+01","8.790382e-06","3.174153e-03","ENSRNOG00000014253"
"52"," 1.053274e+00"," 4.059105e+00","1.975084e+01","8.822276e-06","3.174153e-03","ENSRNOG00000029659"
"53"," 2.212462e+00"," 1.194101e+00","1.954082e+01","9.847280e-06","3.424369e-03","ENSRNOG00000048975"
"54"," 1.514638e+00"," 2.370795e+00","1.951581e+01","9.977052e-06","3.424369e-03","ENSRNOG00000032375"
"55"," 1.309195e+00"," 2.863209e+00","1.949870e+01","1.006683e-05","3.424369e-03","ENSRNOG00000008169"
"56"," 1.508179e+00"," 2.825400e+00","1.924687e+01","1.148584e-05","3.837296e-03","ENSRNOG00000031782"
"57"," 2.093657e+00"," 2.368530e+00","1.921303e+01","1.169127e-05","3.837403e-03","ENSRNOG00000006784"
"58"," 1.451002e+00"," 2.798145e+00","1.908455e+01","1.250534e-05","3.902677e-03","ENSRNOG00000026065"
"59"," 1.580814e+00"," 2.323389e+00","1.906486e+01","1.263504e-05","3.902677e-03","ENSRNOG00000033942"
"60"," 3.669544e+00","-2.220976e-01","1.902131e+01","1.292669e-05","3.902677e-03","ENSRNOG00000033022"
"61"," 1.648414e+00"," 2.098195e+00","1.901604e+01","1.296239e-05","3.902677e-03","ENSRNOG00000048818"
"62"," 1.490802e+00"," 3.320559e+00","1.899854e+01","1.308187e-05","3.902677e-03","ENSRNOG00000018241"
"63"," 1.993161e+00"," 1.593604e+00","1.898983e+01","1.314173e-05","3.902677e-03","ENSRNOG00000017424"
"64"," 1.923734e+00"," 1.499859e+00","1.890463e+01","1.374184e-05","4.017126e-03","ENSRNOG00000026176"
"65"," 1.109780e+00"," 3.942270e+00","1.881543e+01","1.439975e-05","4.124342e-03","ENSRNOG00000019846"
"66"," 1.684534e+00"," 2.366988e+00","1.879570e+01","1.454950e-05","4.124342e-03","ENSRNOG00000032828"
"67"," 9.697333e-01"," 4.504057e+00","1.873273e+01","1.503792e-05","4.199171e-03","ENSRNOG00000026914"
"68"," 1.242178e+00"," 3.445025e+00","1.858224e+01","1.627296e-05","4.477217e-03","ENSRNOG00000051598"
"69"," 1.567914e+00"," 2.345351e+00","1.849353e+01","1.704820e-05","4.622532e-03","ENSRNOG00000058420"
"70"," 1.812252e+00"," 2.235734e+00","1.842481e+01","1.767415e-05","4.650212e-03","ENSRNOG00000006174"
"71"," 1.684919e+00"," 2.206390e+00","1.841325e+01","1.778167e-05","4.650212e-03","ENSRNOG00000020625"
"72"," 1.703603e+00"," 2.042572e+00","1.840105e+01","1.789595e-05","4.650212e-03","ENSRNOG00000019100"
"73"," 1.734434e+00"," 2.510298e+00","1.835191e+01","1.836349e-05","4.689155e-03","ENSRNOG00000028225"
"74"," 2.126731e+00"," 1.506753e+00","1.831427e+01","1.872987e-05","4.689155e-03","ENSRNOG00000005104"
"75"," 2.080177e+00"," 1.460758e+00","1.830011e+01","1.886959e-05","4.689155e-03","ENSRNOG00000018694"
"76"," 1.365951e+00"," 2.961668e+00","1.827724e+01","1.909758e-05","4.689155e-03","ENSRNOG00000003781"
"77"," 1.301429e+00"," 4.070518e+00","1.825725e+01","1.929900e-05","4.689155e-03","ENSRNOG00000053751"
"78"," 1.557884e+00"," 3.177820e+00","1.819363e+01","1.995452e-05","4.786270e-03","ENSRNOG00000003537"
"79"," 2.901092e+00"," 1.111017e+00","1.809872e+01","2.097426e-05","4.923233e-03","ENSRNOG00000046377"
"80"," 1.582824e+00"," 3.121243e+00","1.809169e+01","2.105183e-05","4.923233e-03","ENSRNOG00000058560"
"81"," 3.553520e+00","-6.689084e-02","1.802854e+01","2.176182e-05","5.026443e-03","ENSRNOG00000025957"
"82"," 1.715663e+00"," 1.901059e+00","1.797471e+01","2.238592e-05","5.107539e-03","ENSRNOG00000054643"
"83"," 1.510536e+00"," 3.170380e+00","1.795150e+01","2.266056e-05","5.107909e-03","ENSRNOG00000048430"
"84"," 2.419971e+00"," 1.597275e+00","1.790123e+01","2.326710e-05","5.177482e-03","ENSRNOG00000052188"
"85"," 1.647549e+00"," 2.765820e+00","1.788044e+01","2.352269e-05","5.177482e-03","ENSRNOG00000013428"
"86"," 2.163442e+00"," 1.116331e+00","1.784066e+01","2.401954e-05","5.206322e-03","ENSRNOG00000015418"
"87"," 3.019032e+00"," 7.545988e-01","1.782561e+01","2.421028e-05","5.206322e-03","ENSRNOG00000017890"
"88","-7.872932e-01"," 6.059849e+00","1.779560e+01","2.459512e-05","5.228979e-03","ENSRNOG00000016437"
"89"," 1.531462e+00"," 2.464952e+00","1.776208e+01","2.503227e-05","5.237392e-03","ENSRNOG00000046212"
"90"," 1.144136e+00"," 3.852379e+00","1.774979e+01","2.519457e-05","5.237392e-03","ENSRNOG00000059091"
"91"," 1.422291e+00"," 2.928093e+00","1.768916e+01","2.601040e-05","5.327057e-03","ENSRNOG00000058645"
"92"," 2.882772e+00"," 7.020989e-01","1.767569e+01","2.619538e-05","5.327057e-03","ENSRNOG00000055204"
"93"," 1.553998e+00"," 2.488556e+00","1.761703e+01","2.701588e-05","5.406578e-03","ENSRNOG00000022007"
"94"," 4.071514e+00","-5.810987e-01","1.760660e+01","2.716438e-05","5.406578e-03","ENSRNOG00000060178"
"95"," 3.460942e+00"," 1.231402e-02","1.746832e+01","2.921351e-05","5.753216e-03","ENSRNOG00000062237"
"96"," 1.707809e+00"," 2.188594e+00","1.744841e+01","2.952105e-05","5.753221e-03","ENSRNOG00000011092"
"97"," 1.504041e+00"," 2.315877e+00","1.741192e+01","3.009335e-05","5.804294e-03","ENSRNOG00000032857"
"98"," 9.938683e-01"," 4.911893e+00","1.732867e+01","3.144071e-05","6.002288e-03","ENSRNOG00000058386"
"99"," 1.190606e+00"," 4.789425e+00","1.729294e+01","3.203755e-05","6.054450e-03","ENSRNOG00000006783"
"100"," 1.911032e+00"," 2.145598e+00","1.713451e+01","3.482378e-05","6.421703e-03","ENSRNOG00000029911"
"101"," 3.763510e+00","-4.718138e-01","1.712235e+01","3.504741e-05","6.421703e-03","ENSRNOG00000057643"
"102"," 1.335358e+00"," 3.222271e+00","1.709677e+01","3.552258e-05","6.421703e-03","ENSRNOG00000011268"
"103"," 3.169100e+00"," 1.282232e+00","1.708834e+01","3.568061e-05","6.421703e-03","ENSRNOG00000010423"
"104"," 3.173311e+00"," 4.994167e-01","1.708747e+01","3.569710e-05","6.421703e-03","ENSRNOG00000031588"
"105"," 1.899553e+00"," 1.632302e+00","1.698313e+01","3.771336e-05","6.719803e-03","ENSRNOG00000012573"
"106"," 2.363530e+00"," 1.798460e+00","1.693810e+01","3.861862e-05","6.769868e-03","ENSRNOG00000033173"
"107"," 1.390886e+00"," 3.338585e+00","1.693322e+01","3.871804e-05","6.769868e-03","ENSRNOG00000030515"
"108"," 2.059292e+00"," 1.380223e+00","1.686379e+01","4.016048e-05","6.957059e-03","ENSRNOG00000001006"
"109"," 1.737770e+00"," 1.855997e+00","1.683358e+01","4.080488e-05","6.975835e-03","ENSRNOG00000007031"
"110"," 9.318775e-01"," 3.739340e+00","1.681164e+01","4.127923e-05","6.975835e-03","ENSRNOG00000020350"
"111"," 1.621297e+00"," 3.216253e+00","1.680666e+01","4.138782e-05","6.975835e-03","ENSRNOG00000028580"
"112"," 2.018807e+00"," 1.620619e+00","1.677806e+01","4.201622e-05","6.975835e-03","ENSRNOG00000039107"
"113"," 1.868332e+00"," 1.631161e+00","1.676168e+01","4.238057e-05","6.975835e-03","ENSRNOG00000017027"
"114"," 2.921122e+00"," 2.237130e-01","1.675607e+01","4.250603e-05","6.975835e-03","ENSRNOG00000048582"
"115"," 1.375412e+00"," 3.145800e+00","1.673808e+01","4.291092e-05","6.981046e-03","ENSRNOG00000032378"
"116"," 1.407056e+00"," 2.748469e+00","1.671775e+01","4.337318e-05","6.995421e-03","ENSRNOG00000042912"
"117"," 1.833140e+00"," 1.814298e+00","1.664893e+01","4.497563e-05","7.139492e-03","ENSRNOG00000002167"
"118"," 1.441895e+00"," 3.373421e+00","1.664665e+01","4.502967e-05","7.139492e-03","ENSRNOG00000009967"
"119"," 1.547892e+00"," 2.740946e+00","1.660844e+01","4.594610e-05","7.223577e-03","ENSRNOG00000053948"
"120"," 2.094307e+00"," 1.284228e+00","1.650209e+01","4.859642e-05","7.551574e-03","ENSRNOG00000008003"
"121"," 1.422796e+00"," 2.884859e+00","1.647889e+01","4.919471e-05","7.551574e-03","ENSRNOG00000020731"
"122"," 1.358792e+00"," 2.864794e+00","1.646628e+01","4.952305e-05","7.551574e-03","ENSRNOG00000014751"
"123"," 1.617560e+00"," 2.193217e+00","1.643872e+01","5.024821e-05","7.551574e-03","ENSRNOG00000007003"
"124"," 1.741768e+00"," 1.800285e+00","1.640315e+01","5.120006e-05","7.551574e-03","ENSRNOG00000061796"
"125"," 1.484773e+00"," 2.300322e+00","1.638766e+01","5.162017e-05","7.551574e-03","ENSRNOG00000048363"
"126"," 1.184901e+00"," 3.216419e+00","1.636181e+01","5.232898e-05","7.551574e-03","ENSRNOG00000042860"
"127"," 1.972924e+00"," 1.269968e+00","1.633749e+01","5.300479e-05","7.551574e-03","ENSRNOG00000054142"
"128"," 2.642577e+00"," 1.014423e+00","1.633476e+01","5.308133e-05","7.551574e-03","ENSRNOG00000001869"
"129"," 1.204780e+00"," 3.533673e+00","1.633421e+01","5.309678e-05","7.551574e-03","ENSRNOG00000008728"
"130"," 1.972937e+00"," 1.307261e+00","1.633346e+01","5.311770e-05","7.551574e-03","ENSRNOG00000049759"
"131"," 1.686515e+00"," 2.268111e+00","1.631130e+01","5.374253e-05","7.551574e-03","ENSRNOG00000006729"
"132"," 1.411291e+00"," 2.473733e+00","1.631054e+01","5.376417e-05","7.551574e-03","ENSRNOG00000013519"
"133"," 2.100169e+00"," 1.793655e+00","1.630281e+01","5.398378e-05","7.551574e-03","ENSRNOG00000032946"
