"","X242.Adult","X242.Fetal","X243.Adult","X243.Fetal","X248.Adult","X248.Fetal","X249.Adult","X249.Fetal"
"ENSRNOG00000047873",2.4075667621368,0.971291683535532,1.74495479419602,2.1920794675047,2.67368687373134,5.08691239620041,2.42974411262589,3.53424676417768
"ENSRNOG00000047874",27.4253257252105,31.5346033254536,28.4078640495112,26.3049536100564,28.8376227095309,33.2861006794853,34.1098692734019,26.6470986188
"ENSRNOG00000047876",0.523384078725392,3.62615561853265,0.697981917678409,0.907067365864014,0.286466450756929,0.884680416730506,1.12142035967349,2.131767889504
"ENSRNOG00000047877",1.25612178894094,1.68357225146159,2.02414756126739,1.58736789026202,1.33684343686567,2.43287114600889,1.68213053951023,2.74885859436042
"ENSRNOG00000047880",1.57015223617618,1.16555002024264,3.21071682132068,2.26766841466004,1.14586580302772,1.76936083346101,1.49522714623132,1.85127211456926
"ENSRNOG00000047884",4.81513352427361,2.46060559829001,8.09659024506954,2.87237999190271,5.63384019821961,2.32228609391758,1.21487205631294,1.73907380459537
"ENSRNOG00000047894",0.837414525960627,2.39585281938764,0.977174684749772,2.4188463089707,0.572932901513858,2.10111598973495,2.42974411262589,1.68297464960842
"ENSRNOG00000047895",3.8730421825679,9.64816405645295,3.83890054723125,6.1227047195821,6.4932395504904,6.52451807338748,6.44816706812255,5.89041127362947
"ENSRNOG00000047896",12.3518642579193,16.511958620104,19.9622828456025,18.6704699473676,24.349648314339,17.2512681262449,17.9427257547758,15.5394659313844
"ENSRNOG00000047897",0.837414525960627,0.777033346828425,0.697981917678409,0.83147841870868,0,2.5434561981002,1.86903393278914,1.45857802966063
"ENSRNOG00000047898",5.12916397150884,3.36714450292318,4.46708427314182,5.29122630087342,1.14586580302772,1.32702062509576,5.98090858492526,4.03913915906021
"ENSRNOG00000047901",0.209353631490157,1.68357225146159,0.348990958839204,0.680300524398011,1.6233098876226,0.884680416730506,0.6541618764762,0.785388169817262
"ENSRNOG00000047905",45.2203844018739,25.5125948875333,45.6480174161679,44.521889874492,44.2113222334861,38.0412579194118,47.9407203760415,38.8767144059545
"ENSRNOG00000047910",0.628060894470471,1.68357225146159,1.32616564358898,0.982656313019349,0.668421718432835,1.6587757813697,1.21487205631294,1.73907380459537
"ENSRNOG00000047921",0.418707262980314,0.712280567926057,1.39596383535682,0.453533682932007,0,0.552925260456566,1.21487205631294,1.065883944752
"ENSRNOG00000047922",1.4654754204311,0.129505557804738,0.76778010944625,1.51177894310669,1.43233225378465,0.995265468821819,1.02796866303403,0.448793239895578
"ENSRNOG00000047924",1.04676815745078,4.01467229194686,2.30334032833875,1.73854578457269,3.6285750429211,2.65404125019152,3.36426107902046,6.2831053585381
"ENSRNOG00000047925",0.104676815745078,2.20159448268054,0.209394575303523,0.755889471553345,1.33684343686567,0.442340208365253,1.21487205631294,0.84148732480421
"ENSRNOG00000047931",25.4364662260541,18.3250364293704,32.2467645967425,25.4734751913477,31.7977760340191,23.996956303815,23.6432792497827,17.7273329758753
"ENSRNOG00000047934",10.4676815745078,4.72695285987292,9.5623522721942,11.5651089147662,9.64437050881662,6.96685828175273,8.97136287738789,6.56360113347283
"ENSRNOG00000047941",0.523384078725392,0.388516673414213,0.348990958839204,0.982656313019349,2.0052651552985,0.663510312547879,1.02796866303403,1.23418140971284
"ENSRNOG00000047945",53.2804992142449,41.1180146030042,49.13792700456,47.9233924964821,48.0308749102451,32.4014202627548,34.950934543157,28.6666681983301
"ENSRNOG00000047955",0.209353631490157,2.52535837719238,0.418789150607045,1.58736789026202,0,1.87994588555233,1.02796866303403,2.91715605932126
"ENSRNOG00000047957",1.77950586766633,6.28101955352977,3.14091862955284,3.25032472767938,2.10075397221748,5.63983765665698,2.89700259582317,5.55381634370778
"ENSRNOG00000047960",1.36079860468602,2.0720889248758,0.279192767071364,1.13383420733002,0.190977633837953,0.774095364639193,0.373806786557829,0.897586479791157
"ENSRNOG00000047966",0.314030447235235,2.59011115609475,0.488587342374886,1.05824526017468,0,1.54819072927839,0.934516966394572,2.131767889504
"ENSRNOG00000047967",174.077544584065,150.679716505812,152.858039971572,149.968471156184,149.058043210522,116.777815008427,182.884970323418,105.578609685435
"ENSRNOG00000047969",2.72159720937204,4.40318896536108,0.279192767071364,2.57002420328137,0,4.2022319794699,1.49522714623132,4.1513374690341
"ENSRNOG00000047970",1.77950586766633,0.647527789023688,3.21071682132068,1.51177894310669,0.954888169189764,1.43760567718707,2.80355089918372,4.48793239895578
"ENSRNOG00000047982",1.77950586766633,1.42456113585211,1.74495479419602,1.81413473172803,1.05037698610874,2.65404125019152,0.467258483197286,1.12198309973895
"ENSRNOG00000047984",7.11802347066533,9.25964738303873,11.2375088746224,9.07067365864014,7.16166126892323,8.29387890684849,11.2142035967349,9.48075719279409
"ENSRNOG00000047986",25.8551734890344,15.3464085998614,20.6602647632809,14.1351331180476,51.2774946854903,27.0933377623717,18.6903393278914,17.054143116032
"ENSRNOG00000047988",10.7817120217431,13.9866002429117,15.2858039971572,11.4895199676108,12.222568565629,14.9289820323273,23.4563758565038,15.0345735365019
"ENSRNOG00000047994",1.04676815745078,1.29505557804738,0.697981917678409,1.51177894310669,1.6233098876226,2.10111598973495,0.373806786557829,1.90737126955621
"ENSRNOG00000048004",1.98885949915649,3.30239172402081,1.25636745182114,2.79679104474738,2.76917569065032,5.08691239620041,2.80355089918372,2.74885859436042
"ENSRNOG00000048023",0.523384078725392,1.16555002024264,0.0697981917678409,0.453533682932007,3.15113095832622,1.43760567718707,0.186903393278914,0.953685634778104
"ENSRNOG00000048025",10.2583279430177,7.89983902608899,7.88719566976602,9.07067365864014,3.81955267675906,10.6161650007661,9.62552475386409,11.0515335324286
"ENSRNOG00000048036",4.08239581405806,5.50398620670135,1.95434936949954,4.53533682932007,1.14586580302772,6.41393302129617,4.48568143869395,8.47097240302904
"ENSRNOG00000048037",1.25612178894094,1.10079724134027,0.697981917678409,1.05824526017468,0,0.663510312547879,0.186903393278914,0.729289014830315
"ENSRNOG00000048039",1.36079860468602,4.1441778497516,0.209394575303523,1.66295683741736,0.859399352270788,1.54819072927839,1.02796866303403,1.73907380459537
"ENSRNOG00000048042",1.25612178894094,4.53269452316581,2.30334032833875,3.02355788621338,0.572932901513858,3.53872166692202,2.33629241598643,4.263535779008
