"","ENSEMBL","SYMBOL","Dual-Adult_logFC","Dual-Adult_FDR","Colony_Host_logFC","Colony_Host_FDR","Colony_Host_logFC","Colony_Host_FDR"
"140","ENSRNOG00000013876","Mipep",-2.17242689663697,2.28167168649634e-21,NA,NA,-0.7610933,0.021879724
"141","ENSRNOG00000014064","Ctsh",-1.97454437213123,1.68236091393588e-14,NA,NA,-0.5683299,0.045321217
"142","ENSRNOG00000014164","Paqr5",3.8509895047118,3.56041426315805e-08,1.5549198,0.01308689,NA,NA
"143","ENSRNOG00000014375","Adgrb2",2.30607700835744,1.12986490497703e-08,1.53901,0.03359166,NA,NA
"144","ENSRNOG00000014481","Adtrp",-6.58423225307566,8.00484014504798e-111,NA,NA,-0.6495262,0.04929949
"145","ENSRNOG00000014555","Aox4",2.1566880247873,0.0287579420509082,1.4352417,0.01016735,NA,NA
"146","ENSRNOG00000014659","Ebpl",-3.6720865104137,1.28409164579954e-61,NA,NA,-0.9746137,0.008826043
"147","ENSRNOG00000014835","Il1rl1",2.97250126377211,0.000244141646312499,1.2934964,0.01857634,NA,NA
"148","ENSRNOG00000014896","Adgrg3",9.52511647213453,1.37571838025848e-23,1.8130725,0.04081706,NA,NA
"149","ENSRNOG00000014970","Kif17",6.80946853055173,3.16483506753128e-34,1.4650759,0.0493356,NA,NA
"150","ENSRNOG00000015233","Etfa",-2.43391700626419,3.61333451049118e-18,NA,NA,-0.7150694,0.019936322
"151","ENSRNOG00000015394","Trpv5",5.42810962533412,3.11194831126406e-10,1.6470714,0.03359166,NA,NA
"152","ENSRNOG00000015581","Dnah6",-1.91693058328751,0.000371059104447675,0.9601848,0.02077939,NA,NA
"153","ENSRNOG00000015751","Cyp4f18",6.92010029092676,1.85823519948562e-31,1.6918984,0.009958962,NA,NA
"154","ENSRNOG00000015794","Fam83d",0.99243064361953,0.00172715845203112,1.9123633,0.01671381,NA,NA
"155","ENSRNOG00000015913","Tspan5",3.62730970434646,1.37462278613683e-29,1.2367137,0.02839731,NA,NA
"156","ENSRNOG00000015957","F13a1",8.76571460572428,3.22024298504191e-33,1.4387966,0.01585739,NA,NA
"157","ENSRNOG00000016271","Itm2b",-1.99961542254453,1.36953186563667e-11,NA,NA,-0.6448705,0.030638952
"158","ENSRNOG00000016292","Pdzd9",-1.37616179408384,0.0409415745671455,1.489018,0.02742815,NA,NA
"159","ENSRNOG00000016437","Tm4sf4",-4.71207230656693,4.67445546878938e-52,NA,NA,-0.7872932,0.005228979
"160","ENSRNOG00000016496","Ctsc",-4.27848489112418,4.35726632639531e-69,NA,NA,-0.7445126,0.01117913
"161","ENSRNOG00000016505","Fam169a",6.32926528604745,7.71547897296202e-18,1.5991701,0.02345399,NA,NA
"162","ENSRNOG00000016544","Arhgef28",3.3074639961944,3.15404022577409e-11,0.9975892,0.03069049,NA,NA
"163","ENSRNOG00000016550","Dclk2",2.41105202531794,2.57609827479004e-06,0.9914483,0.02676421,NA,NA
"164","ENSRNOG00000016753","Slc14a1",5.98847038763382,3.42096229328921e-33,1.4671425,0.03849369,NA,NA
"165","ENSRNOG00000017027","Adam2",2.41888278242967,0.00429187663493938,1.8683318,0.006975835,NA,NA
"166","ENSRNOG00000017118","P4ha3",2.56447452748726,2.40447138815296e-10,1.6581065,0.0170551,NA,NA
"167","ENSRNOG00000017120","Abhd2",-5.30767224407877,1.51135668765199e-56,NA,NA,-0.6065203,0.037771289
"168","ENSRNOG00000017127","Rpl28",0.753104984089807,0.00113791652500867,NA,NA,-0.732723,0.019936322
"169","ENSRNOG00000017130","Rhd",6.54379063229321,4.02036905541502e-46,1.6748038,0.02090624,NA,NA
"170","ENSRNOG00000017237","Lama1",3.04314212031181,5.77814933187271e-05,1.3902979,0.01020177,NA,NA
"171","ENSRNOG00000017283","Kcnt1",3.47724616393775,1.45231628594462e-09,1.1017331,0.03900326,NA,NA
"172","ENSRNOG00000017396","Marchf5",-0.91220615383031,1.844511349552e-05,NA,NA,-0.6787434,0.03308625
"173","ENSRNOG00000017597","Fbp1",-4.65284960697771,6.41211831616603e-15,NA,NA,-0.649541,0.020147358
"174","ENSRNOG00000017908","Pnliprp1",4.46584665203233,0.00280531995992767,1.5743244,0.04578297,NA,NA
"175","ENSRNOG00000017977","Smpd1",-2.81646799412568,5.42576402315906e-41,NA,NA,-0.7151843,0.025480961
"176","ENSRNOG00000018241","Ank1",5.8876676021519,5.67513169388615e-28,1.4908016,0.003902677,NA,NA
"177","ENSRNOG00000018254","Sncaip",2.68315256929556,0.00595764741256054,1.2421151,0.02867477,NA,NA
"178","ENSRNOG00000018402","Apoc2",-4.14653506982108,6.07832021644813e-35,NA,NA,-0.7063241,0.019478259
"179","ENSRNOG00000018445","Agt",-5.52101502690189,1.05341694202109e-46,NA,NA,-0.6304358,0.042787159
"180","ENSRNOG00000018735","Cd74",-2.81528942914664,1.19363852892599e-12,NA,NA,-0.6217903,0.037224187
"181","ENSRNOG00000018982","Entpd3",2.9084579738268,0.00126638984546181,1.4739419,0.04316077,NA,NA
"182","ENSRNOG00000019057","Prkcq",7.82920071927636,6.21625096982906e-40,1.4268923,0.00268594,NA,NA
"183","ENSRNOG00000019100","Kif2c",3.90549595784983,1.42109644360925e-36,1.703603,0.004650212,NA,NA
"184","ENSRNOG00000019249","Ap3b2",2.89042593691118,3.33301566518403e-09,1.179253,0.01830726,NA,NA
"185","ENSRNOG00000019271","Ulk4",3.70187518147043,2.20689339500864e-08,1.1298054,0.0253379,NA,NA
"186","ENSRNOG00000019290","Pskh1",-1.49952815131271,1.08709876423959e-10,NA,NA,-0.7709804,0.033591657
"187","ENSRNOG00000019372","Pc",-3.27201160744915,2.29280939366779e-27,NA,NA,-0.5972312,0.049999518
"188","ENSRNOG00000019424","Aspdh",-3.73832860660641,1.29618108292664e-28,NA,NA,-0.6153462,0.039003258
"189","ENSRNOG00000019481","Cyp8b1",-6.44148123116584,9.47045722675843e-17,NA,NA,-0.7626123,0.046152473
"190","ENSRNOG00000019573","Lcat",-4.62083644874488,2.37725637787253e-64,NA,NA,-0.6632137,0.045782966
"191","ENSRNOG00000019708","Ctsf",-2.42807200930701,9.14688289319742e-34,NA,NA,-0.6623708,0.021023337
"192","ENSRNOG00000019859","Pla2g15",-1.44773388898405,5.13520079099141e-08,NA,NA,-0.7742939,0.014841353
"193","ENSRNOG00000019868","Psma5",-1.00245845215295,1.53819337528815e-07,NA,NA,-0.9296122,0.010042799
"194","ENSRNOG00000019959","Kcnc3",3.3453855056363,3.9246281578659e-08,1.4461015,0.03899423,NA,NA
"195","ENSRNOG00000020013","Psrc1",2.92402688276523,8.55428263713691e-10,2.3194292,0.01296085,NA,NA
"196","ENSRNOG00000020138","Slc4a3",1.74515830227112,0.000399099607881321,1.5862033,0.01513566,NA,NA
"197","ENSRNOG00000020317","Rab5if",-1.44097053812688,7.82493984114303e-18,NA,NA,-0.7395859,0.02345399
"198","ENSRNOG00000020345","Slc25a42",-0.495726615651122,0.00593787899273122,NA,NA,-0.5801661,0.040922411
"199","ENSRNOG00000020350","Pacs1",2.13215740089306,1.68483543444238e-08,0.9318775,0.006975835,NA,NA
"200","ENSRNOG00000020451","Cd81",-3.73988766343576,3.36357904301432e-69,NA,NA,-0.7328258,0.021564359
"201","ENSRNOG00000020525","Col5a3",5.55306612501108,2.25201623316788e-17,1.2090817,0.03920979,NA,NA
"202","ENSRNOG00000020607","Bckdha",-2.42330607279577,5.05623986633866e-15,NA,NA,-0.5687165,0.042958179
"203","ENSRNOG00000020625","Mcpt1",5.43258600653832,7.45074130532132e-19,1.6849194,0.004650212,NA,NA
"204","ENSRNOG00000020636","Spint2",-1.49480477608714,2.64568156426865e-07,NA,NA,-0.7272714,0.008826043
"205","ENSRNOG00000020679","Icam1",-2.00154777398692,4.04078184929277e-07,NA,NA,-0.6230665,0.028397313
"206","ENSRNOG00000020829","Them4",-1.39064008586464,0.00191375675680023,1.6179952,0.03565612,NA,NA
"207","ENSRNOG00000021031","Grn",-0.582231666778257,0.0445736642610442,NA,NA,-0.7415063,0.008369724
"208","ENSRNOG00000021177","Cox8a",-1.61850242450969,1.44868262169903e-15,NA,NA,-0.8427777,0.033778387
"209","ENSRNOG00000021207","Lgals12",5.66309996019188,9.29959608032089e-05,1.5969806,0.03769318,NA,NA
"210","ENSRNOG00000021316","Tmem98",-3.51076085339054,1.95569901615112e-36,NA,NA,-0.6916756,0.01534299
"211","ENSRNOG00000021405","Cyp2c7",-7.41181420727973,2.22063737390425e-18,NA,NA,-0.9086852,0.021263767
"212","ENSRNOG00000021560","Cass4",5.69629217900815,1.41085212245412e-22,1.5653684,0.03301029,NA,NA
"213","ENSRNOG00000021713","Kif18b",5.48475135090998,2.31698129242848e-38,1.1611223,0.03889678,NA,NA
"214","ENSRNOG00000022261","Cenpu",4.00448084733617,3.64890318040783e-30,2.471082,0.01067827,NA,NA
"215","ENSRNOG00000022499","Sgo1",3.67292065473351,2.60440493437193e-22,1.3876588,0.04101374,NA,NA
"216","ENSRNOG00000023708","Tmem176a",-4.66491227694975,8.97722188095886e-21,NA,NA,-0.8424692,0.022461885
"217","ENSRNOG00000023856","Agxt",-5.22011772932952,8.06509624228592e-34,NA,NA,-0.6603048,0.031935519
"218","ENSRNOG00000023861","Snap91",1.73840148862903,0.0032593798475274,1.364355,0.008826043,NA,NA
"219","ENSRNOG00000024277","Card11",3.9669150924683,6.41211831616603e-15,1.1893469,0.0361024,NA,NA
"220","ENSRNOG00000024384","Cpn2",-6.22797379913344,5.86265110604766e-95,NA,NA,-0.6528369,0.020325138
"221","ENSRNOG00000024650","Ckap2",1.64186000798088,5.54835021838892e-07,1.2535681,0.0397876,NA,NA
"222","ENSRNOG00000024651","Greb1",2.40548606447931,0.000474307095621418,0.9490181,0.03736947,NA,NA
"223","ENSRNOG00000024705","Rarres2",-7.39825792190541,5.39518126526401e-109,NA,NA,-0.6256551,0.041013737
"224","ENSRNOG00000024824","Col22a1",-1.89177025896892,0.00793761674387456,0.9467412,0.03137752,NA,NA
"225","ENSRNOG00000025110","Vwa3a",4.94348986904931,5.17345181080854e-13,1.2212118,0.02521874,NA,NA
"226","ENSRNOG00000025518","Carmil3",2.88919175375265,1.96743667889138e-11,1.2906781,0.01968495,NA,NA
"227","ENSRNOG00000026065","Slit1",4.26870770280039,4.96164584496992e-12,1.4510019,0.003902677,NA,NA
"228","ENSRNOG00000026120","Fam8a1",-3.19862865358936,1.04836782973038e-20,NA,NA,-0.7319099,0.02345399
"229","ENSRNOG00000026163","Cpt1c",0.918098131354301,0.0356438708354061,1.1121204,0.03134554,NA,NA
"230","ENSRNOG00000026488","Gltpd2",-3.13002459741389,3.01128724440657e-28,NA,NA,-0.7449106,0.04729151
"231","ENSRNOG00000026616","Ndufb2",-1.20962510714878,3.73846611128027e-10,NA,NA,-0.8187421,0.040545883
"232","ENSRNOG00000026914","Dnah1",2.1496161691933,2.84618556353466e-05,0.9697333,0.004199171,NA,NA
"233","ENSRNOG00000026928","RGD1560402",1.28200652616822,0.00176147824148186,1.6710574,0.04939056,NA,NA
"234","ENSRNOG00000027037","Alox12",5.08018844396001,7.29966310123406e-19,1.3362682,0.04615247,NA,NA
"235","ENSRNOG00000027797","Nit2",-3.62407841855547,2.78444226377619e-50,NA,NA,-0.578958,0.049027058
