"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"56"," 5.3030704"," 4.1497535354","305.674217"," 1.912443e-68"," 1.383568e-66","ENSRNOG00000001514"
"57"," 6.1697930"," 4.8102556508","304.839867"," 2.906397e-68"," 2.080860e-66","ENSRNOG00000002950"
"58","10.5509849"," 9.1055060423","299.047624"," 5.312062e-67"," 3.615866e-65","ENSRNOG00000008394"
"59"," 5.3051555"," 4.7457218224","298.408481"," 7.320028e-67"," 4.910104e-65","ENSRNOG00000046086"
"60"," 3.4710837"," 4.6804711651","297.177136"," 1.357650e-66"," 8.976081e-65","ENSRNOG00000005129"
"61"," 7.0021791"," 2.3886953504","296.084984"," 2.348226e-66"," 1.537810e-64","ENSRNOG00000055845"
"62"," 5.2711078"," 6.7618984357","295.593959"," 3.004156e-66"," 1.958087e-64","ENSRNOG00000001833"
"63"," 3.2986395"," 5.9257012746","293.792051"," 7.418582e-66"," 4.723962e-64","ENSRNOG00000011678"
"64"," 3.3465880"," 4.7655172644","291.673102"," 2.147861e-65"," 1.342947e-63","ENSRNOG00000012763"
"65"," 3.5148426"," 4.6586704568","291.269623"," 2.629777e-65"," 1.636859e-63","ENSRNOG00000045863"
"66"," 4.6935815"," 4.5199412584","291.216055"," 2.701412e-65"," 1.673906e-63","ENSRNOG00000042340"
"67"," 3.6432630"," 5.6915999002","290.484935"," 3.898465e-65"," 2.394178e-63","ENSRNOG00000017508"
"68"," 4.2146946"," 7.1897694511","289.932945"," 5.142414e-65"," 3.116573e-63","ENSRNOG00000011586"
"69"," 3.9949133"," 3.8098655955","289.811921"," 5.464332e-65"," 3.282876e-63","ENSRNOG00000012534"
"70"," 4.3388530"," 5.2203858600","289.647428"," 5.934427e-65"," 3.549866e-63","ENSRNOG00000032729"
"71"," 4.0325028"," 5.3114887670","287.064866"," 2.168235e-64"," 1.274922e-62","ENSRNOG00000026108"
"72"," 6.4360789"," 7.6873096250","285.865718"," 3.957317e-64"," 2.287959e-62","ENSRNOG00000006828"
"73"," 4.7960698"," 3.6598371755","284.952020"," 6.258904e-64"," 3.603564e-62","ENSRNOG00000011955"
"74"," 3.5003264"," 4.2601514441","283.723024"," 1.159588e-63"," 6.621150e-62","ENSRNOG00000023799"
"75"," 4.0718836"," 6.6002594027","282.609058"," 2.027899e-63"," 1.143735e-61","ENSRNOG00000019328"
"76"," 4.7257429"," 8.9945192139","282.348222"," 2.311454e-63"," 1.293104e-61","ENSRNOG00000055562"
"77"," 5.7000910"," 2.7320136874","281.908067"," 2.882706e-63"," 1.599728e-61","ENSRNOG00000017429"
"78"," 4.1065990"," 4.1385074622","280.774176"," 5.092025e-63"," 2.781091e-61","ENSRNOG00000018651"
"79"," 3.1157340"," 5.1246349060","280.710595"," 5.257096e-63"," 2.859943e-61","ENSRNOG00000010154"
"80"," 7.5474072"," 5.5606747580","280.489174"," 5.874853e-63"," 3.171044e-61","ENSRNOG00000003866"
"81"," 3.9225255"," 7.1490607048","279.388463"," 1.020613e-62"," 5.424167e-61","ENSRNOG00000048277"
"82"," 4.7370729"," 5.2301211536","279.376917"," 1.026543e-62"," 5.434779e-61","ENSRNOG00000060103"
"83"," 3.7963445"," 5.6213368902","279.285413"," 1.074776e-62"," 5.668416e-61","ENSRNOG00000036697"
"84"," 3.7203412"," 4.5245573847","278.955973"," 1.267971e-62"," 6.661908e-61","ENSRNOG00000024452"
"85"," 9.3731056"," 4.0674670839","278.915053"," 1.294275e-62"," 6.774351e-61","ENSRNOG00000020993"
"86"," 2.9930700"," 5.4199892148","278.894553"," 1.307657e-62"," 6.818567e-61","ENSRNOG00000013773"
"87"," 7.8525301"," 3.0694221296","278.817402"," 1.359273e-62"," 7.061063e-61","ENSRNOG00000054795"
"88"," 4.3686740"," 5.5950864405","278.350914"," 1.717767e-62"," 8.856754e-61","ENSRNOG00000024036"
"89"," 4.7621257"," 5.6597909665","277.559789"," 2.554869e-62"," 1.307525e-60","ENSRNOG00000001769"
"90"," 4.7238676"," 8.0306725275","277.127140"," 3.174340e-62"," 1.618562e-60","ENSRNOG00000005387"
"91"," 4.6893739"," 3.3763258800","275.297049"," 7.952088e-62"," 4.024980e-60","ENSRNOG00000057502"
"92"," 7.8856508"," 6.0752508052","273.647989"," 1.819136e-61"," 9.107545e-60","ENSRNOG00000025075"
"93"," 2.9687985"," 5.4855364306","273.264834"," 2.204796e-61"," 1.099851e-59","ENSRNOG00000004777"
"94","10.7056705"," 6.6995758878","272.294678"," 3.587581e-61"," 1.770471e-59","ENSRNOG00000037908"
"95"," 3.4991871"," 6.4367082769","272.211156"," 3.741145e-61"," 1.839685e-59","ENSRNOG00000009836"
"96"," 3.2426822"," 5.8375415955","271.300010"," 5.909901e-61"," 2.865369e-59","ENSRNOG00000018719"
"97"," 3.2441557"," 4.2902036184","271.067678"," 6.640718e-61"," 3.186161e-59","ENSRNOG00000002757"
"98"," 4.7332704"," 3.3503488089","270.662118"," 8.139619e-61"," 3.878388e-59","ENSRNOG00000046147"
"99"," 7.4798914"," 6.5135999775","270.332575"," 9.603424e-61"," 4.544525e-59","ENSRNOG00000013970"
"100"," 5.6493276"," 8.4502663280","269.885911"," 1.201640e-60"," 5.666985e-59","ENSRNOG00000059660"
"101"," 3.9335324"," 4.8004378052","269.671376"," 1.338233e-60"," 6.289694e-59","ENSRNOG00000046257"
"102"," 6.0374276"," 5.3160314548","269.164127"," 1.726177e-60"," 8.031080e-59","ENSRNOG00000029171"
"103"," 6.8604489"," 6.2147711325","268.902802"," 1.968070e-60"," 9.125767e-59","ENSRNOG00000006116"
"104"," 4.4885034"," 5.8432706679","268.655293"," 2.228357e-60"," 1.022972e-58","ENSRNOG00000036866"
"105"," 6.4453150"," 3.8764375122","268.628305"," 2.258743e-60"," 1.033487e-58","ENSRNOG00000012037"
"106"," 3.7499061"," 6.3965063940","267.980753"," 3.126090e-60"," 1.425621e-58","ENSRNOG00000007393"
"107"," 9.4229480"," 2.8519519804","266.758418"," 5.773158e-60"," 2.598485e-58","ENSRNOG00000026056"
