"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"58","-5.4612767"," 4.9449336281","395.666708"," 4.833377e-88"," 9.148986e-86","ENSRNOG00000059851"
"59","-5.3450428"," 7.4440360856","390.166884"," 7.612835e-87"," 1.366158e-84","ENSRNOG00000018662"
"60","-6.6753407"," 6.4292687090","389.875018"," 8.812232e-87"," 1.561121e-84","ENSRNOG00000015061"
"61","-5.3761053"," 5.2191010694","389.830026"," 9.013239e-87"," 1.576518e-84","ENSRNOG00000011994"
"62","-6.4113792"," 6.8154571620","389.289087"," 1.182073e-86"," 2.041735e-84","ENSRNOG00000025625"
"63","-7.2946287"," 5.0602130412","387.862322"," 2.416883e-86"," 4.123023e-84","ENSRNOG00000001973"
"64","-7.9196560"," 6.9267814987","385.702479"," 7.136183e-86"," 1.188046e-83","ENSRNOG00000009921"
"65","-5.9393544"," 5.7961548236","385.635266"," 7.380721e-86"," 1.214129e-83","ENSRNOG00000021575"
"66","-7.6355372"," 8.1627542107","383.974826"," 1.696645e-85"," 2.758145e-83","ENSRNOG00000029179"
"67","-5.4176575"," 5.8969927327","374.787841"," 1.697269e-83"," 2.665098e-81","ENSRNOG00000039494"
"68","-7.4648439"," 6.2689141350","373.850096"," 2.715942e-83"," 4.216729e-81","ENSRNOG00000003620"
"69","-5.4204274"," 7.2770033478","372.262622"," 6.019428e-83"," 9.241829e-81","ENSRNOG00000014090"
"70","-5.4895815"," 6.1360217537","370.575007"," 1.402805e-82"," 2.130106e-80","ENSRNOG00000008474"
"71","-5.5387135"," 5.7683909542","368.495256"," 3.979471e-82"," 5.849823e-80","ENSRNOG00000008586"
"72","-6.3009468"," 5.6883335254","368.273187"," 4.448127e-82"," 6.469918e-80","ENSRNOG00000051860"
"73","-6.5777009"," 7.4763411008","366.197842"," 1.259080e-81"," 1.775302e-79","ENSRNOG00000046727"
"74","-4.8781780"," 7.4494076043","361.648289"," 1.232185e-80"," 1.669249e-78","ENSRNOG00000057814"
"75","-4.7413249"," 5.8934758619","360.278092"," 2.449234e-80"," 3.254185e-78","ENSRNOG00000003144"
"76","-6.2360132"," 7.2950636449","359.796837"," 3.117613e-80"," 4.064073e-78","ENSRNOG00000019626"
"77","-7.4977144"," 6.3308505534","358.575632"," 5.750925e-80"," 7.426755e-78","ENSRNOG00000047493"
"78","-5.5198756"," 6.3153178063","358.345796"," 6.453338e-80"," 8.256687e-78","ENSRNOG00000012073"
"79","-5.3306153"," 7.7772563892","358.276560"," 6.681293e-80"," 8.392918e-78","ENSRNOG00000001980"
"80","-6.1508921"," 5.2192665829","356.144426"," 1.945972e-79"," 2.379597e-77","ENSRNOG00000021380"
"81","-6.4219386"," 8.8784540528","354.899448"," 3.632757e-79"," 4.364994e-77","ENSRNOG00000010635"
"82","-4.3418913"," 6.7224281281","354.402610"," 4.660428e-79"," 5.504085e-77","ENSRNOG00000009243"
"83","-5.8988895"," 7.3640465421","353.514362"," 7.275255e-79"," 8.519446e-77","ENSRNOG00000024115"
"84","-5.0836433"," 5.1046362429","353.466158"," 7.453241e-79"," 8.654528e-77","ENSRNOG00000020533"
"85","-5.8490571"," 5.3413948146","352.409900"," 1.265770e-78"," 1.457534e-76","ENSRNOG00000011451"
"86","-6.6838536"," 4.0389477892","351.933408"," 1.607370e-78"," 1.835590e-76","ENSRNOG00000039079"
"87","-5.9493787"," 7.3781748435","351.798879"," 1.719535e-78"," 1.947585e-76","ENSRNOG00000028548"
"88","-5.7669356"," 8.3044461263","351.218906"," 2.299889e-78"," 2.583729e-76","ENSRNOG00000003172"
"89","-4.1571867"," 6.8012994714","349.346041"," 5.882323e-78"," 6.554995e-76","ENSRNOG00000014806"
"90","-6.1796387"," 8.0600656868","348.520316"," 8.899463e-78"," 9.837822e-76","ENSRNOG00000000158"
"91","-5.9669618"," 8.0091679927","347.854030"," 1.242966e-77"," 1.363119e-75","ENSRNOG00000011796"
"92","-5.3071664"," 5.1863987985","347.811053"," 1.270042e-77"," 1.381846e-75","ENSRNOG00000003533"
"93","-6.7276561"," 5.2174678503","347.216763"," 1.710944e-77"," 1.842937e-75","ENSRNOG00000012142"
"94","-4.2142883"," 5.7776416276","347.205653"," 1.720501e-77"," 1.842937e-75","ENSRNOG00000014475"
"95","-6.6570121"," 3.5399163082","345.390769"," 4.274483e-77"," 4.474607e-75","ENSRNOG00000007529"
"96","-6.6599232"," 5.3744169520","341.222434"," 3.456588e-76"," 3.564413e-74","ENSRNOG00000012843"
"97","-4.0540017"," 6.3174231092","340.828193"," 4.212167e-76"," 4.311387e-74","ENSRNOG00000047706"
"98","-4.5264655"," 7.1100496187","339.747434"," 7.242274e-76"," 7.304653e-74","ENSRNOG00000014604"
"99","-4.5682119"," 4.6595473677","338.548944"," 1.320951e-75"," 1.322674e-73","ENSRNOG00000037518"
"100","-6.3262572"," 4.4058105517","337.001088"," 2.870706e-75"," 2.833386e-73","ENSRNOG00000050305"
"101","-6.1111931"," 7.7122626684","336.830344"," 3.127337e-75"," 3.064791e-73","ENSRNOG00000004062"
"102","-5.4058099"," 6.7720603360","336.188954"," 4.313821e-75"," 4.168418e-73","ENSRNOG00000023588"
"103","-6.1307008"," 3.7074042706","334.091659"," 1.234909e-74"," 1.168765e-72","ENSRNOG00000022505"
"104","-6.9811359"," 8.6179481531","332.315876"," 3.008789e-74"," 2.828262e-72","ENSRNOG00000013736"
"105","-3.8433953"," 5.4354269874","332.050954"," 3.436300e-74"," 3.208297e-72","ENSRNOG00000019490"
"106","-5.9579804"," 7.6481142125","331.266531"," 5.092566e-74"," 4.722757e-72","ENSRNOG00000009788"
"107","-4.1658209"," 6.2778700706","329.173784"," 1.454584e-73"," 1.322332e-71","ENSRNOG00000050315"
"108","-5.7257532"," 6.4538331039","328.949888"," 1.627438e-73"," 1.469799e-71","ENSRNOG00000042369"
"109","-5.8306816"," 4.4613046045","328.410472"," 2.133002e-73"," 1.913885e-71","ENSRNOG00000007218"
"110","-6.7989583"," 8.1218095349","325.216798"," 1.058273e-72"," 9.366771e-71","ENSRNOG00000021924"
"111","-4.5292116"," 6.5347298532","325.205566"," 1.064252e-72"," 9.366771e-71","ENSRNOG00000012876"
"112","-5.0418850"," 4.5192259122","324.671378"," 1.391222e-72"," 1.216703e-70","ENSRNOG00000008855"
"113","-4.7396878"," 6.9806930948","322.546725"," 4.038091e-72"," 3.509330e-70","ENSRNOG00000014338"
"114","-3.7398877"," 7.2308652378","318.003109"," 3.943406e-71"," 3.363579e-69","ENSRNOG00000020451"
"115","-4.2784849"," 7.4496131881","317.462581"," 5.171455e-71"," 4.357266e-69","ENSRNOG00000016496"
"116","-3.7894670"," 5.4566611196","317.056110"," 6.340934e-71"," 5.310244e-69","ENSRNOG00000007829"
"117","-4.5885676"," 5.2157539917","316.508587"," 8.344867e-71"," 6.946348e-69","ENSRNOG00000053498"
"118","-5.3363045"," 6.5919153418","316.412276"," 8.757878e-71"," 7.246488e-69","ENSRNOG00000011706"
"119","-6.9096499"," 9.3723545335","316.381148"," 8.895686e-71"," 7.316702e-69","ENSRNOG00000001809"
"120","-4.1433816"," 6.4710417440","314.945022"," 1.828151e-70"," 1.485964e-68","ENSRNOG00000021240"
"121","-4.2932079"," 5.7576375066","314.503827"," 2.280966e-70"," 1.832464e-68","ENSRNOG00000021053"
"122","-6.2819285"," 7.5844376204","312.712538"," 5.601764e-70"," 4.448573e-68","ENSRNOG00000015654"
"123","-5.8109319"," 7.6666729316","312.611070"," 5.894247e-70"," 4.654097e-68","ENSRNOG00000033619"
"124","-4.8242736"," 5.7279078304","312.316873"," 6.831489e-70"," 5.363495e-68","ENSRNOG00000013791"
"125","-6.2004137"," 6.4276846786","311.920498"," 8.334147e-70"," 6.506285e-68","ENSRNOG00000007139"
"126","-3.6384897"," 5.8953563235","310.988850"," 1.329877e-69"," 1.026605e-67","ENSRNOG00000020879"
"127","-5.7761413"," 3.9620615268","309.867622"," 2.333793e-69"," 1.791575e-67","ENSRNOG00000019098"
"128","-3.9425187"," 6.8199367532","309.460243"," 2.862908e-69"," 2.185617e-67","ENSRNOG00000038607"
"129","-3.6869618"," 6.2032341601","307.670302"," 7.026511e-69"," 5.305592e-67","ENSRNOG00000050843"
"130","-6.4804853"," 8.5703147607","307.565294"," 7.406546e-69"," 5.551902e-67","ENSRNOG00000002878"
"131","-7.3186822"," 7.9715467339","307.558167"," 7.433072e-69"," 5.551902e-67","ENSRNOG00000016348"
"132","-4.6944746"," 5.0503915574","307.324237"," 8.358528e-69"," 6.209577e-67","ENSRNOG00000026965"
"133","-6.0208015"," 7.8321014233","307.113542"," 9.290293e-69"," 6.864881e-67","ENSRNOG00000030538"
"134","-4.9410672"," 7.0272370581","306.262855"," 1.423483e-68"," 1.046260e-66","ENSRNOG00000043201"
"135","-5.8742136"," 6.5688878629","306.128138"," 1.523002e-68"," 1.107623e-66","ENSRNOG00000026605"
"136","-5.0966105"," 6.5401524512","304.994136"," 2.689966e-68"," 1.935935e-66","ENSRNOG00000017188"
"137","-4.9014750"," 8.4340473306","304.195963"," 4.014516e-68"," 2.859411e-66","ENSRNOG00000000304"
"138","-4.6563936"," 4.0749460264","303.726720"," 5.079969e-68"," 3.599744e-66","ENSRNOG00000059770"
"139","-3.6066136"," 7.1201085089","303.175220"," 6.698998e-68"," 4.722793e-66","ENSRNOG00000001223"
"140","-6.0403735"," 8.1443219271","302.692019"," 8.536498e-68"," 5.987682e-66","ENSRNOG00000018937"
"141","-4.5686135"," 6.0796842699","301.763785"," 1.359896e-67"," 9.490424e-66","ENSRNOG00000030763"
"142","-6.3208083"," 4.5516541193","301.092688"," 1.904202e-67"," 1.322224e-65","ENSRNOG00000036680"
"143","-5.0804120"," 6.4456568715","300.124545"," 3.094833e-67"," 2.138220e-65","ENSRNOG00000048723"
"144","-4.7608025"," 5.6494807413","300.003420"," 3.288716e-67"," 2.260869e-65","ENSRNOG00000003709"
"145","-3.6321116"," 6.1777530925","299.270463"," 4.750218e-67"," 3.249432e-65","ENSRNOG00000008950"
"146","-4.9842806"," 6.2803292154","298.541640"," 6.847019e-67"," 4.637848e-65","ENSRNOG00000028368"
"147","-3.6609698"," 6.2889124391","298.462801"," 7.123249e-67"," 4.801417e-65","ENSRNOG00000030391"
"148","-5.6847489"," 3.4816080345","298.346169"," 7.552464e-67"," 5.041544e-65","ENSRNOG00000007839"
"149","-4.8826616"," 5.6665369258","297.879764"," 9.543436e-67"," 6.339962e-65","ENSRNOG00000054080"
"150","-4.8861582"," 7.7319364227","296.699621"," 1.725146e-66"," 1.135146e-64","ENSRNOG00000060338"
"151","-3.3951335"," 6.6125793893","295.305031"," 3.472750e-66"," 2.252885e-64","ENSRNOG00000004672"
"152","-4.6208364"," 7.3380736311","295.188585"," 3.681668e-66"," 2.377256e-64","ENSRNOG00000019573"
"153","-6.8723668"," 4.5910212459","294.996796"," 4.053509e-66"," 2.605181e-64","ENSRNOG00000036984"
"154","-4.6992572"," 4.1966243272","293.796860"," 7.400703e-66"," 4.723962e-64","ENSRNOG00000052415"
"155","-5.2633449"," 8.1482334780","292.861075"," 1.183489e-65"," 7.501586e-64","ENSRNOG00000001229"
"156","-5.8607760"," 7.3787750224","292.215900"," 1.635829e-65"," 1.032141e-63","ENSRNOG00000000443"
"157","-4.4968526"," 4.4636852938","291.705261"," 2.113484e-65"," 1.327460e-63","ENSRNOG00000012622"
"158","-4.6651397"," 5.7236409751","290.645529"," 3.596681e-65"," 2.218702e-63","ENSRNOG00000043426"
"159","-5.1227892"," 7.6196097466","290.405501"," 4.056968e-65"," 2.480495e-63","ENSRNOG00000003515"
"160","-6.5058935"," 4.3709605935","290.191659"," 4.516434e-65"," 2.749255e-63","ENSRNOG00000061527"
"161","-6.0456713"," 8.8594921265","289.913892"," 5.191805e-65"," 3.132767e-63","ENSRNOG00000008988"
"162","-4.8025598"," 5.6762088313","288.873719"," 8.749118e-65"," 5.211005e-63","ENSRNOG00000021200"
"163","-3.6494762"," 6.5838137074","287.689398"," 1.584975e-64"," 9.399651e-63","ENSRNOG00000038001"
"164","-7.2529488"," 7.1120749918","287.344720"," 1.884199e-64"," 1.112644e-62","ENSRNOG00000042901"
"165","-7.7007939"," 6.8905707830","287.014492"," 2.223734e-64"," 1.302015e-62","ENSRNOG00000033010"
"166","-4.6776739"," 5.5530057792","286.348939"," 3.105322e-64"," 1.810520e-62","ENSRNOG00000004555"
"167","-3.9097425"," 6.2708391975","285.926066"," 3.839290e-64"," 2.229047e-62","ENSRNOG00000020194"
"168","-5.1646718"," 5.1142867183","284.798538"," 6.759936e-64"," 3.875884e-62","ENSRNOG00000059519"
"169","-4.5386627"," 5.0855702247","283.681272"," 1.184136e-63"," 6.733492e-62","ENSRNOG00000012290"
"170","-3.7577947"," 5.3180558049","283.666217"," 1.193115e-63"," 6.756744e-62","ENSRNOG00000016815"
"171","-3.6720865"," 5.8315071173","282.370247"," 2.286051e-63"," 1.284092e-61","ENSRNOG00000014659"
"172","-4.9450424"," 6.8083859981","282.102663"," 2.614541e-63"," 1.456763e-61","ENSRNOG00000046307"
"173","-3.4423227"," 5.9604559519","281.605413"," 3.355462e-63"," 1.854631e-61","ENSRNOG00000036693"
"174","-7.5449477"," 3.6812592824","281.342830"," 3.828006e-63"," 2.107386e-61","ENSRNOG00000015858"
"175","-5.2132237"," 4.7284059352","281.108092"," 4.306510e-63"," 2.361403e-61","ENSRNOG00000024578"
"176","-3.5777714"," 5.9602853688","280.574008"," 5.630023e-63"," 3.050810e-61","ENSRNOG00000010890"
"177","-4.6082898"," 6.8391802641","279.745371"," 8.532655e-63"," 4.587713e-61","ENSRNOG00000030726"
