"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"58","-3.8022839"," 3.707404271","255.607841"," 1.555725e-57"," 2.128416e-55","ENSRNOG00000022505"
"59","-3.3294145"," 5.697031406","254.869699"," 2.253416e-57"," 3.023078e-55","ENSRNOG00000033206"
"60","-4.5939823"," 6.429268709","251.805741"," 1.049005e-56"," 1.393764e-54","ENSRNOG00000015061"
"61","-3.6600556"," 6.591063233","251.669825"," 1.123072e-56"," 1.477962e-54","ENSRNOG00000034116"
"62","-7.0351597","10.268424971","251.332582"," 1.330234e-56"," 1.734072e-54","ENSRNOG00000004405"
"63","-6.4283003"," 1.982308893","250.570319"," 1.950318e-56"," 2.518644e-54","ENSRNOG00000003884"
"64","-3.3837290"," 4.963081767","250.185556"," 2.365849e-56"," 3.026972e-54","ENSRNOG00000031090"
"65","-3.7576711"," 6.730170920","249.485814"," 3.361533e-56"," 4.261437e-54","ENSRNOG00000014481"
"66","-2.9389928"," 4.337672294","248.270169"," 6.188188e-56"," 7.773489e-54","ENSRNOG00000013994"
"67","-4.6009932"," 3.971307108","244.915476"," 3.333931e-55"," 4.150294e-53","ENSRNOG00000003472"
"68","-6.1689289"," 3.149463883","244.812335"," 3.511107e-55"," 4.331828e-53","ENSRNOG00000021513"
"69","-3.2782405"," 5.248744209","242.126039"," 1.352516e-54"," 1.639392e-52","ENSRNOG00000004172"
"70","-6.0327928"," 2.709277876","236.144223"," 2.725617e-53"," 3.246774e-51","ENSRNOG00000020503"
"71","-3.7515840"," 4.127170134","235.418367"," 3.924148e-53"," 4.634519e-51","ENSRNOG00000028801"
"72","-4.6777264"," 5.467716299","235.394323"," 3.971810e-53"," 4.651057e-51","ENSRNOG00000017120"
"73","-3.5558222"," 5.162353337","234.608339"," 5.893632e-53"," 6.834386e-51","ENSRNOG00000046890"
"74","-2.8483340"," 4.713663337","234.594341"," 5.935203e-53"," 6.834386e-51","ENSRNOG00000030712"
"75","-3.8263930"," 6.136021754","234.078036"," 7.691732e-53"," 8.783831e-51","ENSRNOG00000008474"
"76","-4.3725514"," 6.796801850","232.982322"," 1.333416e-52"," 1.510258e-50","ENSRNOG00000006331"
"77","-7.0940913"," 4.820335212","231.650209"," 2.602946e-52"," 2.924187e-50","ENSRNOG00000014008"
"78","-3.2998212"," 6.270839197","229.613030"," 7.239933e-52"," 8.067854e-50","ENSRNOG00000020194"
"79","-3.8295128"," 7.277003348","227.339682"," 2.267399e-51"," 2.506474e-49","ENSRNOG00000014090"
"80","-3.8475473"," 7.412426858","225.410623"," 5.973821e-51"," 6.499705e-49","ENSRNOG00000050860"
"81","-4.8246383"," 2.682737563","224.899561"," 7.721764e-51"," 8.335885e-49","ENSRNOG00000000781"
"82","-3.8613950"," 5.276636413","224.110708"," 1.147546e-50"," 1.229209e-48","ENSRNOG00000021084"
"83","-4.8791204"," 4.675130260","224.040211"," 1.188902e-50"," 1.254065e-48","ENSRNOG00000000456"
"84","-3.3634968"," 6.170802962","223.514266"," 1.548316e-50"," 1.620805e-48","ENSRNOG00000019657"
"85","-4.0294724"," 5.549747272","222.705117"," 2.324581e-50"," 2.397094e-48","ENSRNOG00000000658"
"86","-4.1659346"," 7.252128790","220.894327"," 5.771782e-50"," 5.864300e-48","ENSRNOG00000000201"
"87","-6.9545259"," 6.691465410","220.843568"," 5.920815e-50"," 5.971812e-48","ENSRNOG00000015519"
"88","-3.4752697"," 4.287972335","220.666896"," 6.470197e-50"," 6.478637e-48","ENSRNOG00000058522"
"89","-7.1998446"," 7.837661883","219.567045"," 1.124146e-49"," 1.117514e-47","ENSRNOG00000012404"
"90","-4.2813419"," 7.295063645","216.421568"," 5.457068e-49"," 5.386126e-47","ENSRNOG00000019626"
"91","-3.1330253"," 4.074946026","215.626253"," 8.136772e-49"," 7.917882e-47","ENSRNOG00000059770"
"92","-3.6217688"," 4.341696850","214.777656"," 1.246152e-48"," 1.204149e-46","ENSRNOG00000012663"
"93","-7.1030932"," 7.849119521","214.488007"," 1.441311e-48"," 1.373520e-46","ENSRNOG00000024016"
"94","-3.4845971"," 5.186398799","214.079799"," 1.769331e-48"," 1.663171e-46","ENSRNOG00000003533"
"95","-3.6397540"," 5.553005779","213.535793"," 2.325337e-48"," 2.171048e-46","ENSRNOG00000004555"
"96","-6.6284610"," 4.786654424","212.083044"," 4.824087e-48"," 4.414518e-46","ENSRNOG00000011330"
"97","-5.7045981"," 5.977042276","210.774385"," 9.309330e-48"," 8.462916e-46","ENSRNOG00000003020"
"98","-3.9737532"," 2.323362281","209.473286"," 1.789701e-47"," 1.605850e-45","ENSRNOG00000033434"
"99","-2.3656113"," 5.404870101","205.949693"," 1.050916e-46"," 9.249403e-45","ENSRNOG00000002823"
"100","-3.4407999"," 4.118067906","205.161972"," 1.561147e-46"," 1.356725e-44","ENSRNOG00000014508"
"101","-3.4460801"," 7.444036086","203.801037"," 3.093132e-46"," 2.671306e-44","ENSRNOG00000018662"
"102","-4.7369600"," 6.269637915","202.520214"," 5.886831e-46"," 5.021249e-44","ENSRNOG00000028668"
"103","-5.9021372"," 1.698089002","201.586378"," 9.411426e-46"," 7.978349e-44","ENSRNOG00000030938"
"104","-4.9799143"," 2.228148685","200.860852"," 1.355117e-45"," 1.141768e-43","ENSRNOG00000019744"
"105","-3.1880352"," 3.306870549","200.225667"," 1.864603e-45"," 1.561520e-43","ENSRNOG00000006403"
"106","-7.1249428"," 7.599023225","199.318879"," 2.940823e-45"," 2.433311e-43","ENSRNOG00000011612"
"107","-3.3827710"," 3.253302869","199.004942"," 3.443328e-45"," 2.832138e-43","ENSRNOG00000015113"
"108","-5.6757886"," 3.449712001","198.968965"," 3.506143e-45"," 2.866739e-43","ENSRNOG00000029668"
"109","-6.6654588"," 6.834931193","198.229550"," 5.083844e-45"," 4.132268e-43","ENSRNOG00000033164"
"110","-4.4759411"," 2.273167868","198.192991"," 5.178100e-45"," 4.184268e-43","ENSRNOG00000033570"
"111","-4.2049716"," 3.762774542","198.134104"," 5.333613e-45"," 4.284876e-43","ENSRNOG00000017577"
"112","-6.4812043"," 1.709984325","197.651874"," 6.796109e-45"," 5.428245e-43","ENSRNOG00000005278"
"113","-6.5189465"," 2.997850596","197.242642"," 8.347752e-45"," 6.591385e-43","ENSRNOG00000015727"
"114","-4.4771452"," 4.536522323","196.961670"," 9.613653e-45"," 7.547810e-43","ENSRNOG00000011184"
"115","-4.7826794"," 2.299982526","195.920015"," 1.622635e-44"," 1.259639e-42","ENSRNOG00000013408"
"116","-3.3825816"," 6.929779307","195.791790"," 1.730634e-44"," 1.335972e-42","ENSRNOG00000038999"
"117","-6.3944977"," 7.852980931","194.511642"," 3.293033e-44"," 2.513985e-42","ENSRNOG00000032560"
"118","-3.7616173"," 4.896177309","193.833923"," 4.629256e-44"," 3.495468e-42","ENSRNOG00000019283"
"119","-5.0362492"," 8.381814172","192.982137"," 7.102658e-44"," 5.333942e-42","ENSRNOG00000008902"
"120","-3.1493646"," 5.239639998","192.857691"," 7.561060e-44"," 5.647499e-42","ENSRNOG00000000723"
"121","-3.3586264"," 4.275094730","192.438297"," 9.335142e-44"," 6.935107e-42","ENSRNOG00000002635"
